ProductId,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,new_ver
111,Round,1.3*1.3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
112,Round,2.5*2.5,8,Round,1.8*1.8,2,Round,2.2*2.2,2,Round,2.2*2.2,2,,,,,,,,,,,,,,,,,,, -   
113,Round,1.3*1.3,48,Round,1.0*1.0,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
114,Round,1.5*1.5,6,Round,1.8*1.8,4,Round,1.2*1.2,2,Round,1.1*1.1,4,,,,,,,,,,,,,,,,,,, -   
115,Round,1.5*1.5,40,Round,0.9*0.9,32,Oval,5.0*3.0,2,,,,,,,,,,,,,,,,,,,,,, -   
116,Round,1.0*1.0,30,Round,0.9*0.9,8,Round,0.8*0.8,32,Round,1.1*1.1,2,Round,0.9*0.9,4,,,,,,,,,,,,,,,, -   
117,Round,1.2*1.2,30,Round,1.3*1.3,16,,,,,,,,,,,,,,,,,,,,,,,,, -   
118,Round,1.2*1.2,34,Round,1.1*1.1,20,,,,,,,,,,,,,,,,,,,,,,,,, -   
119,Round,0.9*0.9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
120,Princess Ngàm,1.5*1.5,96,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
121,Round,3.0*3.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
122,Princess,2.0*2.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
124,Round,1.1*1.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
126,Round,1.4*1.4,12,Round,1.1*1.1,4,Round,1.3*1.3,8,,,,,,,,,,,,,,,,,,,,,, -   
127,Princess Ngàm,2.5*2.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
128,Round,1.3*1.3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
129,Round,1.4*1.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
130,Round,3.0*3.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
131,Round,2.5*2.5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
132,Round,1.5*1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
133,Round,1.5*1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
134,Round,1.3*1.3,2,Round,1.0*1.0,90,,,,,,,,,,,,,,,,,,,,,,,,, -   
135,Round,1.0*1.0,4,Round,1.3*1.3,24,,,,,,,,,,,,,,,,,,,,,,,,, -   
136,Round,1.4*1.4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
137,Round,1.1*1.1,14,Round,1.0*1.0,2,Round,0.8*0.8,2,,,,,,,,,,,,,,,,,,,,,, -   
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
139,Round,1.5*1.5,4,Round,3.6*3.6,2,Round,2.7*2.7,4,,,,,,,,,,,,,,,,,,,,,, -   
140,Marquise,3.0*1.5,2,Marquise,4.0*2.0,4,,,,,,,,,,,,,,,,,,,,,,,,, -   
141,Round,1.7*1.7,20,Round,2.2*2.2,8,,,,,,,,,,,,,,,,,,,,,,,,, -   
142,Round,1.9*1.9,2,Round,1.1*1.1,32,Round,1.2*1.2,16,Round,1.3*1.3,8,Round,2.0*2.0,8,,,,,,,,,,,,,,,, -   
143,Round,1.2*1.2,22,Round,0.9*0.9,6,Round,1.0*1.0,6,Round,0.8*0.8,2,,,,,,,,,,,,,,,,,,, -   
144,Round,0.8*0.8,40,Round,0.9*0.9,32,,,,,,,,,,,,,,,,,,,,,,,,, -   
145,Marquise,4.0*2.0,4,Marquise,3.5*1.75,4,Marquise,3.0*1.5,4,Round,1.5*1.5,4,Pear,4.0*2.5,2,,,,,,,,,,,,,,,, -   
