ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,diamond_gold_10k,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
785," 23,970,000 "," 20,230,000 "," 27,770,000 ", -   ," 16,710,000 "," 12,970,000 "," 20,330,000 ", -   
786," 34,710,000 "," 30,810,000 ", -   , -   ," 23,530,000 "," 19,620,000 ", -   , -   
787," 28,180,000 "," 23,550,000 "," 31,750,000 ", -   ," 19,420,000 "," 14,780,000 "," 22,880,000 ", -   
788," 30,470,000 "," 25,190,000 "," 34,560,000 ", -   ," 22,290,000 "," 17,020,000 "," 26,270,000 ", -   
789," 50,830,000 "," 47,090,000 "," 55,100,000 ", -   ," 29,200,000 "," 25,460,000 "," 33,350,000 ", -   
790," 34,320,000 "," 29,150,000 "," 38,380,000 ", -   ," 24,080,000 "," 18,900,000 "," 28,020,000 ", -   
791," 43,400,000 "," 40,540,000 "," 47,800,000 ", -   ," 21,680,000 "," 18,820,000 "," 25,970,000 ", -   
792," 26,360,000 "," 22,420,000 "," 30,310,000 ", -   ," 19,620,000 "," 15,680,000 "," 23,400,000 ", -   
793," 45,070,000 "," 41,420,000 "," 48,850,000 ", -   ," 24,850,000 "," 21,200,000 "," 28,520,000 ", -   
794," 22,160,000 "," 19,540,000 "," 26,360,000 ", -   ," 14,640,000 "," 12,020,000 "," 18,660,000 ", -   
795," 23,780,000 "," 21,090,000 "," 28,020,000 ", -   ," 14,820,000 "," 12,130,000 "," 18,890,000 ", -   
796," 25,670,000 "," 22,690,000 "," 30,250,000 ", -   ," 15,910,000 "," 12,930,000 "," 20,310,000 ", -   
797," 30,620,000 "," 28,190,000 "," 34,920,000 ", -   ," 12,620,000 "," 10,190,000 "," 16,740,000 ", -   
798," 55,440,000 "," 53,740,000 "," 58,990,000 ", -   ," 11,590,000 "," 9,890,000 "," 14,970,000 ", -   
799," 17,030,000 "," 14,240,000 "," 21,390,000 ", -   ," 13,290,000 "," 10,490,000 "," 17,470,000 ", -   
800," 23,950,000 "," 20,240,000 "," 27,520,000 ", -   ," 17,380,000 "," 13,670,000 "," 20,760,000 ", -   
801," 20,650,000 "," 18,090,000 "," 24,760,000 ", -   ," 12,470,000 "," 9,900,000 "," 16,390,000 ", -   
802," 54,940,000 "," 50,610,000 "," 58,340,000 ", -   ," 27,070,000 "," 22,740,000 "," 30,350,000 ", -   
803," 15,080,000 "," 11,270,000 ", -   , -   ," 15,080,000 "," 11,270,000 ", -   , -   
804," 12,760,000 "," 10,150,000 ", -   , -   ," 12,010,000 "," 9,390,000 ", -   , -   
805," 14,700,000 "," 12,210,000 "," 19,100,000 ", -   ," 12,510,000 "," 10,020,000 "," 16,730,000 ", -   
806," 13,700,000 "," 11,010,000 ", -   , -   ," 13,290,000 "," 10,600,000 ", -   , -   
807," 10,590,000 "," 8,170,000 ", -   , -   ," 10,100,000 "," 7,670,000 ", -   , -   
808," 16,960,000 "," 12,960,000 ", -   , -   ," 16,310,000 "," 12,320,000 ", -   , -   
809," 13,910,000 "," 10,830,000 "," 18,190,000 ", -   ," 13,910,000 "," 10,830,000 "," 18,190,000 ", -   
810," 14,330,000 "," 11,150,000 ", -   , -   ," 14,330,000 "," 11,150,000 ", -   , -   
811," 18,990,000 "," 15,860,000 "," 23,740,000 ", -   ," 14,400,000 "," 11,260,000 "," 18,970,000 ", -   
812," 23,560,000 "," 19,710,000 "," 27,130,000 ", -   ," 15,580,000 "," 11,730,000 "," 18,970,000 ", -   
813," 22,060,000 "," 18,220,000 "," 26,380,000 ", -   ," 15,480,000 "," 11,640,000 "," 19,620,000 ", -   
814," 30,990,000 "," 26,960,000 "," 34,940,000 ", -   ," 21,520,000 "," 17,490,000 "," 25,360,000 ", -   
815," 22,280,000 "," 18,350,000 "," 25,870,000 ", -   ," 15,740,000 "," 11,820,000 "," 19,160,000 ", -   
816," 32,920,000 "," 29,050,000 "," 37,450,000 ", -   ," 18,220,000 "," 14,730,000 "," 22,540,000 ", -   
817," 42,560,000 "," 38,370,000 "," 47,360,000 ", -   ," 20,470,000 "," 16,700,000 "," 25,060,000 ", -   
818," 36,160,000 "," 32,310,000 "," 40,400,000 ", -   ," 21,510,000 "," 17,660,000 "," 25,640,000 ", -   
819," 35,460,000 "," 31,560,000 "," 39,410,000 ", -   ," 21,700,000 "," 17,800,000 "," 25,540,000 ", -   
820," 44,800,000 "," 41,460,000 "," 48,870,000 ", -   ," 17,890,000 "," 14,880,000 "," 21,790,000 ", -   
821," 34,510,000 "," 30,670,000 "," 38,420,000 ", -   ," 23,210,000 "," 19,370,000 "," 27,000,000 ", -   
822," 23,490,000 "," 19,390,000 "," 27,260,000 ", -   ," 16,370,000 "," 12,260,000 "," 19,950,000 ", -   
823," 26,180,000 "," 22,040,000 "," 30,180,000 ", -   ," 18,100,000 "," 13,960,000 "," 21,920,000 ", -   
824," 21,640,000 "," 17,940,000 "," 25,890,000 ", -   ," 15,460,000 "," 11,760,000 "," 19,540,000 ", -   
825," 18,210,000 "," 15,530,000 "," 22,460,000 ", -   ," 12,940,000 "," 10,260,000 "," 17,010,000 ", -   
826," 19,990,000 "," 17,420,000 "," 24,690,000 ", -   ," 14,440,000 "," 11,870,000 "," 18,960,000 ", -   
827," 19,980,000 "," 16,080,000 "," 23,580,000 ", -   ," 15,720,000 "," 11,820,000 "," 19,140,000 ", -   
828," 35,500,000 "," 30,330,000 "," 39,370,000 ", -   ," 20,980,000 "," 15,810,000 "," 24,740,000 ", -   
829," 28,240,000 "," 24,100,000 "," 32,240,000 ", -   ," 19,900,000 "," 15,760,000 "," 23,720,000 ", -   
830," 40,550,000 "," 36,580,000 "," 44,490,000 ", -   ," 21,570,000 "," 17,590,000 "," 25,390,000 ", -   
831," 25,680,000 "," 23,740,000 "," 29,210,000 ", -   ," 14,450,000 "," 12,510,000 "," 17,870,000 ", -   
832," 29,570,000 "," 27,030,000 "," 33,660,000 ", -   ," 16,330,000 "," 13,800,000 "," 20,310,000 ", -   
833," 30,710,000 "," 26,670,000 "," 35,390,000 ", -   ," 14,530,000 "," 10,490,000 "," 19,020,000 ", -   
834," 36,080,000 "," 32,450,000 "," 40,260,000 ", -   ," 22,760,000 "," 19,140,000 "," 26,830,000 ", -   
835," 25,920,000 "," 23,320,000 ", -   , -   ," 16,410,000 "," 13,800,000 ", -   , -   
836," 47,820,000 "," 43,500,000 "," 52,540,000 ", -   ," 21,710,000 "," 17,390,000 "," 26,250,000 ", -   
837," 46,320,000 "," 42,050,000 "," 50,460,000 ", -   ," 26,550,000 "," 22,280,000 "," 30,580,000 ", -   
838," 32,630,000 "," 28,460,000 "," 37,140,000 ", -   ," 13,400,000 "," 9,230,000 "," 17,900,000 ", -   
839," 23,940,000 "," 20,270,000 "," 27,740,000 ", -   ," 16,900,000 "," 13,230,000 "," 20,510,000 ", -   
840," 20,000,000 "," 16,320,000 "," 23,500,000 ", -   ," 15,730,000 "," 12,040,000 "," 19,220,000 ", -   
841," 17,050,000 "," 14,050,000 "," 21,300,000 ", -   ," 12,780,000 "," 9,770,000 "," 17,020,000 ", -   
842," 32,250,000 "," 29,370,000 "," 36,800,000 ", -   ," 14,080,000 "," 11,210,000 "," 18,460,000 ", -   
843," 38,250,000 "," 33,870,000 "," 41,290,000 ", -   ," 17,640,000 "," 13,270,000 "," 20,680,000 ", -   
844," 36,160,000 "," 32,270,000 "," 40,100,000 ", -   ," 21,530,000 "," 17,650,000 "," 25,360,000 ", -   
845," 40,880,000 "," 37,120,000 "," 45,180,000 ", -   ," 23,350,000 "," 19,590,000 "," 27,540,000 ", -   
