id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
634,NCH3104,Nhẫn Threestone chấu peg-head,NCH,,10,Round,4.5,3.4,3.17,,Plain,0.12,
635,NCH3105,Nhẫn Threestone chấu classic,NCH,,10,Round,4.5,2.79,2.56,,Plain,0.12,
636,NCH3201,Nhẫn Threestone đai tấm,NCH,,11,Round,5.4,2.78,2.59,,Plain,0.42,
637,NCH3202,,NCH,,11,Round,5.4,3.87,3.55,5.1,Plain,0.36,
638,NCH3203,Nhẫn Threestone có bridge accent,NCH,,11,Round,5.4,3.59,3.35,,Plain,0.33,
639,NCH3204,Nhẫn Threestone có bridge accent,NCH,,11,Round,5.4,4.23,3.95,,Plain,0.39,
640,NCH3205,Nhẫn Threestone có 3 bridge accent,NCH,,13,Round,5.4,3.02,2.82,,Plain,0.5,
641,NCH3207,,NCH,,14,Round,5,4.26,3.91,5.63,Plain,0.44,
642,NCH3208,,NCH,,10,Round,5.4,3.54,3.3,,Plain,0.21,
643,NCH3302,,NCH,,12,Round,5.4,3.64,3.35,4.81,Plain,0.59,
644,NCH5301,LOVE DREAM,NCH,,11,Round,5.4,2.48,2.31,,Plain,,
645,NCH5302,LOVE DREAM,NCH,,10,Round,5.4,2.8,2.57,,Pattern,,
646,NCH5303,LOVE DREAM,NCH,,10,Round,5.4,2.94,2.74,,Pattern,,
647,NCH5401,LOVE DREAM,NCH,,11,Round,5.4,2.53,2.36,,Pattern,0.018,
648,NCH5402,LOVE DREAM,NCH,,11,Round,5.4,4.58,4.21,,Pattern,0.41,
649,NCH5404,LOVE DREAM,NCH,,11,Round,5.4,3.08,2.88,,Plain,0.11,
650,NCH5405,LOVE DREAM,NCH,,11,Round,5.4,2.63,2.45,,Pattern,,
651,NCH5406,LOVE DREAM,NCH,,10,Round,4.5,2.48,2.32,,Plain,0.06,
652,NCH8101,Nhẫn Solitaire đai trơn,NCH,,11,Princess,5,2.48,2.32,,Plain,0,
653,NCH8102,,NCH,,10,Princess,5.4,2.83,2.59,3.73,Plain,0.26,
654,NCH8201,,NCH,,9,Emerald,"7,0*5,0",3.12,2.86,4.11,Plain,1.01,
655,NCH8202,,NCH,,8,Emerald,6.0*4.0,3.03,2.82,,Plain,0.89,
656,NCH8203,Nhẫn Halo đai tấm,NCH,,8,Emerald,12.4*8.4,4.18,3.9,,Plain,0.51,
,NCH8204,,NCH,,,,,,,,,,
657,NCH8209,,NCH,,10,Emerald,9.0*7.0,3.27,3.05,,Plain,0.35,
658,NCH8301,,NCH,,10,Pear,"6,0*6,0",2.93,2.69,3.86,Plain,0.31,
659,NCH8401,,NCH,,9,Heart,6,2.99,2.74,3.94,Plain,,
660,NCH8402,,NCH,,12,Heart,"5,4*6,6",3.78,3.47,4.99,Plain,0.33,
661,NCH8403,Nhẫn kim cương Heart of Princess,NCH,,11,Heart,5.4*4.8,2.72,2.54,,Plain,0.2,
662,NCH8405,,NCH,,13,Heart,5.0*6.4,2.49,2.32,,Plain,0,
663,NCH8406,,NCH,,9,Heart,6.3,1.92,1.79,,Plain,0.42,
664,NCH8407,,NCH,,17,Heart,6.5*6.96,3.5,3.26,,Plain,0.44,
665,NCH8408,,NCH,,10,Heart,5.5,3.42,2.86,,Plain,0.09,
666,NCH8409,,NCH,,11,Heart,5.5,3.09,2.84,4.08,Plain,,
667,NCH8410,LOVE DREAM,NCH,,10,Heart,5.4*5.8,4.49,4.18,,Plain,0.067,
668,NCH8411,LOVE DREAM,NCH,,11,Heart,5.4,2.23,2.08,,Plain,0.007,
669,NCH8413,,NCH,,11,Heart,5.5,3.03,2.82,4.06,Pattern,,
670,NCH8501,Nhẫn Halo đai tấm,NCH,,11,Oval,8.0*6.0,2.31,2.15,,Plain,0.33,
671,NCH9903,Nhẫn Royal design,NCH,,12,Round,5.4,3.78,3.52,,Plain,0.36,
672,NCH9904,,NCH,,11,Round,5.4,3.41,3.18,,Pattern,0.16,
673,NCH9909,Nhẫn Royal design,NCH,,11,Round,5.4,3.47,3.24,,Plain,0.33,
674,NCH9910,Nhẫn Royal design,NCH,,11,Round,5.4,3.85,3.59,,Pattern,0.48,
675,NCH9911,Nhẫn Royal design,NCH,,11,Round,5.4,4.31,4.02,,Pattern,0.21,
676,NCH9913,Nhẫn Royal design,NCH,,10,Round,5.4,5.06,4.65,,Pattern,0.008,
677,NCH9920,,NCH,,11,Round,5.4,4.65,4.34,,Plain,0.86,
678,NCH9921,,NCH,,11,Round,6.3,4.46,4.15,,Plain,0.38,
679,NCH9922,,NCH,,13,Round,5.4,3.98,3.66,5.26,Plain,0.07,
680,NCM0001,,NCM/NCF,,18,,,5.88,5.4,7.76,Plain,0.46,
681,NCM0002,,NCM/NCF,,15,,,5.58,5.47,4.72,Pattern,0.013,
682,NCM0003,,NCM/NCF,,18,,,5.73,6.24,8.24,Plain,,
683,NCM0004,,NCM/NCF,,15,,,5.41,4.96,7.14,Pattern,0.05,
684,NCM0005,,NCM/NCF,,16,,,5.34,4.9,7.05,Plain,0.05,
685,NCM0006,,NCM/NCF,,15,,,5.55,5.09,7.32,Plain,0,
686,NCM0007,Nhẫn cưới Eternity,NCM/NCF,,15,,,3.25,2.72,,Plain,0.05,
687,NCM0008,,NCM/NCF,,15,,,5.93,5.45,7.83,Pattern,0,
688,NCM0009,,NCM/NCF,,15,,,4.2,3.43,5.63,Plain,,
689,NCM0010,,NCM/NCF,,15,,,5.86,5.38,7.73,Pattern,0.05,
690,NCM0011,Nhẫn cưới Eternity,NCM/NCF,,19,,,10.25,8.56,,Plain,0,0
691,NCM0012,,NCM/NCF,,10,,,5.15,4.21,,Plain,0.02,
692,NCM0013,,NCM/NCF,,16.5,,,5.56,5.11,7.34,Plain,0.1,
693,NCM0016,,NCM/NCF,,15,,,3.99,3.34,,Plain,0.045,
694,NCM0017,,NCM/NCF,,18,,,4.62,4.25,6.11,Pattern,0.02,
361,NCF1036,GOLDEN PROMISE,NCM/NCF,,11,,,2.74,2.55,3.67,Pattern,,
362,NCF1037,GOLDEN PROMISE,NCM/NCF,,10,,,4.40,4.10,5.90,Plain,0.01,
697,NCM0024,,NCM/NCF,,17,,,3.96,3.31,,Plain,0.4,
363,NCF1038,GOLDEN PROMISE,NCM/NCF,,10,,,2.29,2.1,3.02,Plain,0.01,
364,NCF1039,GOLDEN PROMISE,NCM/NCF,,10,,,2.62,2.44,3.51,Plain,0.02,
365,NCF1040,GOLDEN PROMISE,NCM/NCF,,11,,,3.29,3.06,4.4,Pattern,0.01,
366,NCF1041,GOLDEN PROMISE,NCM/NCF,,9,,,3.74,2.95,4.24,Pattern,0.01,
702,NCM0041,,NCM/NCF,,16,,,5.89,5.41,7.77,Pattern,0.17,
703,NCM0042,,NCM/NCF,,18.5,,,7.08,6.6,,Pattern,0,
704,NCM0043,,NCM/NCF,,18,,,8.31,7.75,,Pattern,0.01,
705,NCM0044,,NCM/NCF,,18,,,5.54,5.17,,Pattern,0.06,
706,NCM0045,,NCM/NCF,,18,,,5.48,5.11,,Pattern,0.02,
707,NCM0046,,NCM/NCF,,18,,,7.37,6.87,,Plain,0.05,
708,NCM1002,,NCM/NCF,,19,,,3.56,3.27,4.7,Pattern,0.005,
709,NCM1003,,NCM/NCF,,20,,,4.64,4.26,6.13,Pattern,0.013,
710,NCM1004,,NCM/NCF,,21,,,3.05,2.55,,Pattern,0,0
711,NCM1005,,NCM/NCF,,18.5,,,4.49,4.19,,Pattern,0.02,
712,NCM1006,,NCM/NCF,,19,,,2.88,2.41,,Pattern,0,0
713,NCM1007,,NCM/NCF,,20,,,10.1,8.44,,Plain,0,0
714,NCM1008,,NCM/NCF,,15,,,5.65,4.73,,Pattern,0,0
715,NCM1009,,NCM/NCF,,16,,,5.18,4.76,6.84,Pattern,,
716,NCM1010,,NCM/NCF,,14,,,3.9,3.2,,Plain,0,0
717,NCM1011,,NCM/NCF,,22,,,8.19,7.64,,Pattern,,
718,NCM1012,,NCM/NCF,,18,,,6.22,5.72,8.22,Plain,0,
719,NCM1013,,NCM/NCF,,18,,,3.06,2.81,4.04,Plain,0.02,
720,NCM1014,,NCM/NCF,,17,,,3.92,3.28,,Plain,0,0
721,NCM1015,,NCM/NCF,,17,,,4.22,3.53,,Pattern,0,0
722,NCM1016,,NCM/NCF,,17,,,4.18,3.5,,Plain,0,0
723,NCM1017,,NCM/NCF,,17,,,4.74,3.96,,Plain,0,0
724,NCM1018,,NCM/NCF,,16,,,3.43,3.15,4.52,Pattern,,
725,NCM1019,,NCM/NCF,,22,,,6.11,5.11,,Pattern,0,0
726,NCM1020,,NCM/NCF,,17,,,4.34,3.63,,Plain,0,0
727,NCM1021,,NCM/NCF,,16,,,5.36,4.92,7.07,Pattern,,
728,NCM1022,,NCM/NCF,,16,,,3.72,3.42,4.91,Pattern,,
729,NCM1023,,NCM/NCF,,18,,,3.17,2.65,,Pattern,0,0
730,NCM1024,,NCM/NCF,,17,,,3.24,2.71,,Plain,0,0
731,NCM1025,,NCM/NCF,,17,,,6.59,6.05,8.7,Pattern,,
732,NCM1027,,NCM/NCF,,16,,,5.67,5.21,7.49,Pattern,0.06,
733,NCM1028,,NCM/NCF,,23,,,3.62,3.02,,Plain,0,0
734,NCM1033,,NCM/NCF,,15,,,5.15,4.81,6.91,Plain,,
367,NCF1042,GOLDEN PROMISE,NCM/NCF,,11,,,3,2.85,4.09,Pattern,0.04,
368,NCF1043,GOLDEN PROMISE,NCM/NCF,,11,,,3.62,3.31,4.76,Pattern,0.02,
438,NCF2091,GOLDEN PROMISE,NCM/NCF,,11,,,3.08,2.83,4.07,Pattern,0.02,
439,NCF2092,GOLDEN PROMISE,NCM/NCF,,11,,,3.8,3.49,5.02,Pattern,0.005,
440,NCF2093,GOLDEN PROMISE,NCM/NCF,,8.5,,,2.5,2.29,3.3,Pattern,0.01,
735,NCM1036,GOLDEN PROMISE,NCM/NCF,,18.5,,,3.46,3.23,4.64,Pattern,,
736,NCM1037,GOLDEN PROMISE,NCM/NCF,,18,,,4.53,4.22,6.07,Plain,0.01,
737,NCM1038,GOLDEN PROMISE,NCM/NCF,,15,,,3.83,3.52,5.06,Plain,,
738,NCM1039,GOLDEN PROMISE,NCM/NCF,,14,,,3.41,3.18,4.57,Plain,0.01,
739,NCM1040,GOLDEN PROMISE,NCM/NCF,,14,,,4.31,4.02,5.78,Pattern,0.02,
740,NCM1041,GOLDEN PROMISE,NCM/NCF,,13,,,4.13,3.85,5.53,Pattern,0.01,
741,NCM1042,GOLDEN PROMISE,NCM/NCF,,16,,,4.51,4.14,5.95,Pattern,0.01,
747,NCM2001,,NCM/NCF,,16,,,4.79,4.4,6.32,Plain,0.04,
748,NCM2002,,NCM/NCF,,12,,,6.43,5.38,,Plain,0.044,
749,NCM2003,,NCM/NCF,,18,,,8.55,7.85,11.29,Plain,0.06,
750,NCM2004,,NCM/NCF,,24,,,4.55,3.81,,Pattern,0.037,
751,NCM2005,,NCM/NCF,,18,,,6.75,6.2,8.91,Plain,0.12,
752,NCM2006,,NCM/NCF,,20,,,6.56,5.48,,Plain,0.23,
753,NCM2007,,NCM/NCF,,18,,,6.67,6.22,8.94,Plain,0.07,
754,NCM2008,,NCM/NCF,,16.8,,,5.61,5.15,5.53,Plain,0,
755,NCM2009,,NCM/NCF,,16,,,5.61,5.15,7.4,Plain,0.004,
756,NCM2010,,NCM/NCF,,18,,,5.86,5.38,7.74,Pattern,,
757,NCM2011,,NCM/NCF,,15,,,6.16,5.66,8.14,Plain,,
758,NCM2012,,NCM/NCF,,24,,,6.94,5.8,,Pattern,0.07,
759,"NCM2012
",,NCM/NCF,,17,,,6.92,6.35,9.13,Pattern,0.03,
760,NCM2013,,NCM/NCF,,18,,,8.43,7.74,11.13,Plain,0.1,
761,NCM2014,,NCM/NCF,,18,,,7.65,7.03,10.1,Plain,,
762,NCM2015,,NCM/NCF,,15,,,7.14,5.76,9.43,Plain,0.11,
763,NCM2016,,NCM/NCF,,20,,,5.56,4.64,,Plain,0.012,
764,NCM2017,,NCM/NCF,,20,,,7.32,6.12,,Pattern,0.43,
765,NCM2018,,NCM/NCF,,16,,,7.41,6.91,9.93,Plain,,
766,NCM2019,,NCM/NCF,,20,,,6.54,5.47,,Plain,0.06,
767,NCM2020,,NCM/NCF,,20,,,5.08,4.25,,Plain,0,0
768,NCM2021,,NCM/NCF,,20,,,5.77,4.83,,Plain,0.37,
769,NCM2022,,NCM/NCF,,20,,,7.45,6.23,,Plain,0.035,
770,NCM2023,,NCM/NCF,,20,,,6.39,5.34,,Plain,0.06,
771,NCM2024,,NCM/NCF,,20,,,7.31,6.11,,Plain,0.07,
772,NCM2025,,NCM/NCF,,14,,,6.11,5.1,,Pattern,0.06,
773,NCM2026,,NCM/NCF,,21,,,11.12,9.29,,Plain,0.1,
774,NCM2027,,NCM/NCF,,18,,,5.8,5.33,7.66,Plain,,
775,NCM2028,,NCM/NCF,,15,,,6.08,5.08,,Plain,0,0
776,NCM2029,,NCM/NCF,,16,,,5.38,4.94,7.11,Plain,0.02,
777,NCM2030,,NCM/NCF,,16,,,6.55,4.87,,Plain,0,0
778,NCM2031,,NCM/NCF,,17,,,5.99,5.01,,Plain,0.06,
779,NCM2032,,NCM/NCF,,18,,,7.33,6.13,,Plain,0.09,
780,NCM2033,,NCM/NCF,,16,,,7.79,7.16,10.29,Plain,,
781,NCM2034,,NCM/NCF,,18,,,9.67,8.08,,Plain,0.022,
782,NCM2035,,NCM/NCF,,16,,,4.45,4.09,5.88,Plain,0.02,
783,NCM2036,,NCM/NCF,,14,,,4.34,3.62,,Pattern,0.026,
784,NCM2037,,NCM/NCF,,15,,,3.94,3.62,5.2,Plain,,
785,NCM2038,,NCM/NCF,,16,,,4.12,3.78,5.43,Plain,,
786,NCM2039,,NCM/NCF,,15,,,5.41,4.97,7.14,Plain,0.01,
787,NCM2040,,NCM/NCF,,18,,,9.05,8.31,11.94,Pattern,,
788,NCM2041,,NCM/NCF,,16,,,5.38,4.94,7.11,Pattern,,
789,NCM2042,,NCM/NCF,,14,,,5.55,4.64,,Plain,0,0
790,NCM2043,,NCM/NCF,,18,,,3.89,3.25,,Plain,0,0
791,NCM2044,,NCM/NCF,,15,,,4.22,3.53,,Plain,0,0
792,NCM2045,,NCM/NCF,,15,,,5.47,4.57,,Plain,0,0
793,NCM2047,,NCM/NCF,,14,,,3.3,2.76,,Plain,0,0
794,NCM2048,,NCM/NCF,,14,,,6.41,5.35,,Plain,0.03,
795,NCM2049,,NCM/NCF,,15,,,3.29,2.75,,Plain,0.019,
796,NCM2053,,NCM/NCF,,17,,,6.51,5.98,8.6,Pattern,,
797,NCM2054,,NCM/NCF,,15,,,5.45,4.55,,Plain,0,0
742,NCM1043,GOLDEN PROMISE,NCM/NCF,,19,,,5.36,4.92,7.07,Pattern,,
743,NCM1044,GOLDEN PROMISE,NCM/NCF,,19,,,5.28,4.92,7.08,Pattern,,
800,NCM2059,,NCM/NCF,,17,,,5.27,4.24,6.95,Pattern,0,
801,NCM2061,,NCM/NCF,,17,,,6.7,5.6,,Pattern,0.06,
802,NCM2062,,NCM/NCF,,16,,,5.44,5,7.19,Plain,0.05,
803,NCM2065,,NCM/NCF,,15,,,44626,5.27,,Pattern,0.015,
744,NCM1046,GOLDEN PROMISE,NCM/NCF,,19,,,4.75,4.36,6.27,Pattern,,
745,NCM1047,GOLDEN PROMISE,NCM/NCF,,19,,,5.7,4.74,7.52,Pattern,,
746,NCM1048,GOLDEN PROMISE,NCM/NCF,,19,,,5.53,4.68,7.41,Pattern,,
807,NCM2079,,NCM/NCF,,18,,,8.34,7.77,,Pattern,0.01,
808,NCM2080,,NCM/NCF,,18,,,7.17,6.58,,Plain,0.02,
809,NCM2081,,NCM/NCF,,18,,,5.77,5.38,,Pattern,0.07,
810,NCM2090,,NCM/NCF,,15,,,9.84,9.17,,Pattern,0,
811,NCM2091,GOLDEN PROMISE,NCM/NCF,,19,,,4.58,4.2,6.05,Pattern,0.02,
812,NCM2092,GOLDEN PROMISE,NCM/NCF,,19,,,5.89,5.41,7.78,Pattern,0.05,
813,NCM2093,GOLDEN PROMISE,NCM/NCF,,18.5,,,4.13,3.79,5.45,Pattern,0.01,
814,NCM3001,,NCM/NCF,,18,Round,3.6,5.67,5.2,7.48,Plain,0,
815,NCM3002,,NCM/NCF,,25,Round,4.1,8.16,6.82,,Plain,0,0
816,NCM3003,,NCM/NCF,,16,Round,3.6,5.99,5.5,7.91,Plain,0,
817,NCM3004,,NCM/NCF,,16,,,7.25,6.65,9.57,Pattern,0.07,
818,NCM3005,,NCM/NCF,,17.5,Round,4.5,7.45,6.84,9.84,Pattern,0,
819,NCM3006,,NCM/NCF,,16,Round,4.5,7.19,6.6,9.49,Plain,0,
820,NCM3007,,NCM/NCF,,20,Round,4,5.5,4.6,,Plain,0,0
821,NCM3008,,NCM/NCF,,20,,,5.48,4.58,,Pattern,0.17,
822,NCM3009,,NCM/NCF,,17,,,6.87,6.3,9.06,Plain,0.16,
823,NCM3010,,NCM/NCF,,12,,3.6,6.35,5.92,8.51,Plain,0,
824,NCM3011,,NCM/NCF,,18,Round,3.6,4.68,3.91,,Pattern,0.17,
825,NCM3012,,NCM/NCF,,15,Round,3.6,5.78,5.31,7.63,Plain,,
826,NCM3013,,NCM/NCF,,15,,,8.38,7.01,,Pattern,0.12,
827,NCM3015,,NCM/NCF,,16,,,6.71,6.26,9,Plain,0.05,
828,NCM3024,,NCM/NCF,,15,,,7.8,7.28,,Plain,0.25,
829,NCM3026,,NCM/NCF,,16,,,6.62,6.08,8.74,Pattern,0.14,
830,NCM3030,,NCM/NCF,,18,,,7.35,6.85,,Plain,0.05,
831,NCM5001,,NCM/NCF,,18,,,8.14,7.47,10.74,Plain,0.45,
832,NCM5002,,NCM/NCF,,19,,,9.72,8.92,12.48,Pattern,0,
833,NCM5003,,NCM/NCF,,16,,,6.66,6.11,8.79,Pattern,,
834,NCM5004,,NCM/NCF,,15,,,3.88,3.56,5.13,Pattern,0,
835,NCM5005,,NCM/NCF,,15,,,7.59,6.35,,Pattern,0.89,
836,NCM5006,,NCM/NCF,,17,,,8.03,6.72,,Plain,0.13,
837,NCM5007,,NCM/NCF,,18,,,7.07,6.49,9.33,Pattern,0,
838,NCM5008,,NCM/NCF,,15,,,4.95,4.54,6.53,Plain,0,
839,NCM5009,,NCM/NCF,,12,,,8.7,7.27,,Plain,0.24,
,NCM7001,,NCM/NCF,,,,,,,,,,
,NCM7002,,NCM/NCF,,,,,,,,,,
,NCM7003,,NCM/NCF,,,,,,,,,,
,NCM7004,,NCM/NCF,,,,,,,,,,
,NCM7005,,NCM/NCF,,,,,,,,,,
,NCM7006,,NCM/NCF,,,,,,,,,,
,NCM7007,,NCM/NCF,,,,,,,,,,
,NCM7008,,NCM/NCF,,,,,,,,,,
,NCM7009,,NCM/NCF,,,,,,,,,,
,NCM7010,,NCM/NCF,,,,,,,,,,
840,NCM8001,,NCM/NCF,,18,,,7.06,5.9,,Pattern,0.018,
841,"NCM8001
",,NCM/NCF,,16,,,6.9,6.33,9.1,Pattern,0.02,
842,NCM8002,,NCM/NCF,,14,,,6.21,5.7,8.19,Plain,0.12,
843,NCM8003,,NCM/NCF,,14,,,5.23,4.8,6.91,Plain,0,
844,NCM8010,,NCM/NCF,,18,,,5.41,5.05,,Plain,0.02,
845,NCM9001,,NCM/NCF,,15,,,7.77,7.13,10.26,Pattern,0.13,
846,NCM9002,,NCM/NCF,,20,,,4.65,3.89,,Plain,0,0
847,NCM9003,,NCM/NCF,,18,,,6.93,6.37,9.15,Pattern,0.52,
848,NCM9004,,NCM/NCF,,18,,,6.77,6.22,8.94,Plain,0.11,
849,NCM9005,,NCM/NCF,,17,,,5.89,5.48,7.87,Pattern,0.05,
850,NCM9006,,NCM/NCF,,19,,,10.29,8.6,,Plain,0,0
851,NCM9007,,NCM/NCF,,15,,,5.3,4.87,7,Pattern,0.37,
852,NCM9009,,NCM/NCF,,15,,,4.54,4.17,6,Pattern,0.02,
853,NCM9010,,NCM/NCF,,15,,,6.03,5.53,7.95,Pattern,,
854,NCM9011,,NCM/NCF,,18,,,6.81,6.36,,Plain,0.1,
855,NKC0003,,NKC,,10,Heart,3.5,3.3,3.08,,Plain,0.33,
856,NKC0005,Nhẫn Wide Band,NKC,,11,Round,6.3,4.58,4.27,,Plain,0.78,
857,NKC0007,,NKC,,11,Round,5.4,6.45,6.02,,Plain,1.75,
858,NKC0008,,NKC,,12,Round,6.3,4.16,3.88,,Plain,0.48,
859,NKC0009,,NKC,,12,Round,6.3,6.7,6.25,,Plain,0.35,
860,NKC0011,,NKC,,11,Round,4.5,4.27,3.98,,Plain,0.1,
861,NKC0012,,NKC,,11,,,3.4,2.84,,Plain,0.15,
862,NKC0014,,NKC,,14,Round,7.2,7.99,7.45,,Plain,1.69,
863,NKC0015,,NKC,,14,Round,7.2,10.84,10.11,,Plain,1.68,
864,NKC1001,,NKC,,12,Round,7.2,6.61,6.17,,Plain,0.51,
865,NKC1003,,NKC,,13,Round,6.3,4.39,4.09,,Plain,0.57,
866,NKC1201,Nhẫn Tiffany full tấm ở đai & chấu,NKC,,11,Round,7.6,7.59,6.96,,Plain,0.6,
867,NKC1205,,NKC,,11,Round,6.3,6.91,6.44,,Plain,1.03,
868,NKC1207,,NKC,,12,Round,8.1,4.92,4.59,,Plain,0.46,
869,NKC1308,,NKC,,11,Round,5.4,2.96,2.76,,Plain,0.68,
870,NKC1511,,NKC,,11,Round,6,3.76,3.45,,Pattern,0.66,
871,NKC1608,,NKC,,11,Round,5.4,4.01,3.74,,Pattern,0.31,
872,NKC1611,,NKC,,11.5,Round,5.4,6.35,5.93,,Pattern,0.21,
,NKC1702,,NKC,,,,,,,,,,
873,NKC1712,,NKC,,10,Round,5.4,3.63,3.39,,Plain,0.25,
874,NKC1801,,NKC,,13,Round,7.2,3.82,3.57,,Plain,1.03,
875,NKC2002,,NKC,,13,Round,5.4,6.71,6.26,,Plain,0.73,
876,NKC2003,,NKC,,13,Round,7.2,10,9.32,,Plain,1.49,
877,NKC2006,,NKC,,12,Round,7.2,8.18,6.84,,Pattern,0.95,
878,NKC2008,,NKC,,11,,,3.93,3.29,,Pattern,0.37,
879,NKC2010,,NKC,,11,Round,6.3,6.56,6.12,,Plain,0.69,
880,NKC2012,,NKC,,11,Round,6.3,4.19,3.91,,Pattern,0.29,
881,NKC2013,Nhẫn Halo bản lớn,NKC,,11,Round,6.3,10,9.32,,Plain,1.58,
882,NKC2014,Nhẫn Halo hình giọt nước,NKC,,11,Round,5.4,4.93,4.6,,Plain,0.22,
883,NKC2015,,NKC,,12,Round,6.5,4.76,4.44,,Plain,0.36,
884,NKC2017,,NKC,,10,Round,6.3,7.03,6.55,,Plain,1.32,
885,NKC2102,,NKC,,13,Round,6.3,9.51,8.87,,Pattern,0.8,
886,NKC2203,"Nhẫn Halo tròn, đai tấm, vòng halo",NKC,,11,Round,5.4,3.45,3.17,,Plain,0.31,
887,NKC2301,"Nhẫn Double Halo tròn, đai tấm",NKC,,11,Round,5.4,4.84,4.44,,Plain,0.63,
888,NKC2302,"Nhẫn Double Halo cushion, đai tấm",NKC,,11,Round,5.4,5,4.18,,Plain,0.67,
889,NKC2303,"Nhẫn Double Halo cushion, đai tấm, halo hở",NKC,,11,Round,5.4,4.78,4.39,,Plain,0.45,
890,NKC2304,Nhẫn Double Halo floral,NKC,,11,Round,5.4,3.9,3.58,,Plain,0.61,
891,NKC2305,,NKC,,11,Round,6.3,7.55,7.04,,Plain,1.04,
892,NKC2306,,NKC,,13,Round,5.4,7.2,6.72,,Plain,0.34,
893,NKC2308,,NKC,,12,Round,4.5,5.37,4.93,,Plain,0.69,
894,NKC2401,Nhẫn Halo cushion đai eternity,NKC,,11,Round,5.4,3.32,3.05,,Plain,0.27,
,NKC2403,,NKC,,,,,,,,,,
895,NKC2405,Nhẫn Halo cushion đai twist 1 đai tấm,NKC,,11,Round,5.4,4.5,4.14,,Plain,0.44,
896,NKC2406,,NKC,,10,Round,6.3,7.09,6.61,,Plain,0.63,
897,NKC2408,,NKC,,11,Round,6,3.85,3.59,,Plain,0.4,
898,NKC2501,Nhẫn Fancy Floral Halo,NKC,,12,Round,5.4,5.89,5.49,,Plain,0.86,
,NKC2502,,NKC,,,,,,,,,,
899,NKC2504,Nhẫn Zinnia Halo,NKC,,11,Round,6,6.88,6.42,,Plain,0.99,
900,NKC2505,Nhẫn Double floral Halo,NKC,,11,Round,4.5,5.25,4.9,,Plain,0.65,
901,NKC2508,Nhẫn Princess Diamond Halo,NKC,,11,Round,5.4,4.07,3.8,,Plain,0.97,
902,NKC2509,Nhẫn Fancy Marquise Halo,NKC,,11,Round,5.4,3.56,3.32,,Plain,0.45,
903,NKC2514,,NKC,,13,Round,6.3,6.52,6.08,,Plain,0.94,
904,NKC3103,Nhẫn Threestone twist,NKC,,11,Round,5.4,3.46,3.22,,Plain,0.12,
905,NKC3206,,NKC,,10,Round,5.4,3.39,3.16,,Plain,0.44,
906,NKC3301,,NKC,,11,Round,5.4,3.55,3.31,,Plain,0.36,
907,NKC3302,,NKC,,12,Round,7,3.24,2.74,4.22,Plain,1.47,
908,NKC4110,,NKC,,12,Round,6.3,8.53,7.96,,Plain,1.93,
909,NKC4111,,NKC,,11,Round,6.3,8.53,7.96,,Plain,0.78,
910,NKC4112,,NKC,,12,Round,5.4,5.89,5.49,,Plain,0.5,
911,NKC4113,,NKC,,10,Round,5.4,5.82,5.43,,Pattern,0.87,
912,NKC4114,,NKC,,10,Round,6.3,7.48,6.87,,Plain,1.3,
913,NKC4117,,NKC,,10,Round,6.3,8.64,7.93,,Plain,0.86,
914,NKC4118,,NKC,,12,Round,5.4,6.63,6.09,,Plain,0.67,
915,NKC4119,,NKC,,12,Round,5.4,8.7,8.11,,Plain,2.01,
916,NKC4120,,NKC,,12,Round,6.3,8.43,7.86,,Plain,1.77,
917,NKC4121,,NKC,,11,Round,5.4,6.93,6.47,,Plain,1.06,
918,NKC4201,,NKC,,13,Round,5.4,7.34,6.85,,Plain,1.13,
919,NKC8101,,NKC,,13,Cushion,8,9.46,8.82,,Plain,1.04,
920,NKC8103,,NKC,,13,Princess,4,3.42,3.19,,Plain,0.19,
921,NKC8204,,NKC,,11,Emerald,8.0*6.8,5.4,4.94,,Plain,0.99,
922,NKC8205,,NKC,,9,Emerald,6.88*4.58,4.89,4.56,,Plain,0.47,
923,NKC8207,,NKC,,11,Round,5.4,2.96,2.76,,Plain,0.68,
924,NKC8210,Nhẫn Emerald kết hợp Fancy Halo,NKC,,11,Round,7.0*5.0,4.6,4.29,,Plain,1.06,
925,NKC8211,,NKC,,11,Princess,5.4,4.59,3.35,,Plain,0.27,
926,NKC8302,,NKC,,5,Pear,9.1*5.3,3.94,3.67,,Plain,0.54,
927,NKC8402,,NKC,,12,Heart,6,8.95,8.35,,Plain,1.31,
928,NKC8503,,NKC,,11,Oval,8.0*6.0,3.78,3.5,,Plain,0.76,
929,NKC8505,,NKC,,11,Oval,7*5,4.99,4.17,,Plain,1.44,
930,NKC9901, ,NKC,,11,Round,6,3.34,3.11,,Plain,0.19,
931,NKC9902,Nhẫn Royal design,NKC,,11,Round,6.3,4.95,4.62,,Plain,0.32,
932,NKC9905,Nhẫn Royal design,NKC,,10,Round,5.4,3.41,3.18,,Pattern,0.26,
933,NKC9906,Nhẫn Royal design,NKC,,10,Round,5.4,3.36,3.13,,Pattern,0.3,
934,NKC9907,Nhẫn Royal design,NKC,,10,Round,6.4,4.76,4.44,,Pattern,0.89,
935,NKC9908,Nhẫn Royal design,NKC,,10,Round,6.3,5.32,4.96,,Pattern,0.31,
