id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
109,BTA4126,,BTA,,,Round,5,4.02,3.75,,Plain,0.44,
110,BTA4127,,BTA,,,Round,4.1,3.53,3.29,,Plain,0.19,
111,BTA4128,,BTA,,,Oval,8.0*6.0,4.56,4.26,,Pattern,0.93,
112,BTA4131,,BTA,,,Emerald,4.5*3.5,4.15,3.81,,Pattern,0.22,
113,BTA4132,,BTA,,,,,2.83,2.64,,Pattern,0.33,
114,BTA5101,,BTA,,,,,4.42,4.13,,Pattern,0.32,
115,BTA7001,,BTA,,,Princess,4.5,10.62,9.91,,Plain,0.09,
116,BTA7002,,BTA,,,,,7.45,6.95,,Plain,2.03,
117,BTA7003,,BTA,,,,,5.72,5.34,,Plain,0.2,
118,BTA7004,,BTA,,,,,3.09,2.88,,Plain,0.5,
119,BTA7005,,BTA,,,Round,3.6,3.14,2.93,,Plain,,
120,BTA7006,,BTA,,,Round,3.6,2.24,2.09,,Plain,0.13,
121,BTA7007,,BTA,,,Princess,4.5,4.38,4.08,,Plain,,
122,BTA7008,,BTA,,,,,4.71,4.39,,Pattern,0.21,
123,BTA7009,,BTA,,,,,3.98,3.71,,Plain,0.78,
124,BTA7010,,BTA,,,,,4.6,4.29,,Plain,0.4,
125,BTA7011,,BTA,,,,,4.55,4.25,,Plain,0.14,
126,BTA8101,,BTA,,,,,2.47,2.3,,Plain,0.61,
127,BTA8102,,BTA,,,,,3.55,3.31,,Plain,0.82,
128,BTA8103,,BTA,,,,,4.39,3.67,,Pattern,0.3,
129,BTA8104,,BTA,,,,,2.32,2.16,,Plain,0.3,
130,BTA8105,,BTA,,,,,5.35,4.99,,Plain,0.35,
131,BTA8106,,BTA,,,,,3.85,3.21,,Plain,0.21,
132,BTA8107,,BTA,,,,,3.54,3.3,,Plain,0.37,
133,BTA8108,,BTA,,,Round,5.4,4.19,3.91,,Plain,0.081,
134,BTA8109,,BTA,,,Round,4.7,2.87,2.68,,Plain,,
135,BTA8110,,BTA,,,Round,4.1,3.6,3.01,,Plain,0.69,
136,BTA8111,,BTA,,,Heart,5.4,2,1.86,,Plain,0.184,
137,BTA8112,,BTA,,,Round,4.5,7.68,7.16,,Pattern,0.69,
138,BTA8113,,BTA,,,,,3.07,2.86,,Plain,0.62,
139,BTA8114,,BTA,,,Round,4.5,3.57,3.33,,Plain,0.178,
140,BTA8115,,BTA,,,Princess,3.6,4.65,4.34,,Plain,0.166,
141,BTA8116,,BTA,,,N/A,6,4.53,4.22,,Plain,0.67,
142,BTA8117,,BTA,,,,,3.82,3.57,,Pattern,0.3,
143,BTA8118,,BTA,,,Round,3.6,3.37,3.14,,Pattern,0.15,
144,BTA8122,,BTA,,,,,7.34,6.84,,Pattern,0.39,
145,BTA8124,,BTA,,,,,3.98,3.72,,Plain,0.3,
146,BTA8125,,BTA,,,,,9.75,9.09,,Plain,0.87,
147,BTA8126,,BTA,,,,,5.77,5.38,,Plain,0.66,
148,BTA8127,,BTA,,,Round,6,4.88,4.08,,Plain,0.15,
149,BTA8128,,BTA,,,,,11.07,10.33,,Plain,1.44,
150,BTA8130,,BTA,,,Princess,4.1,4.34,4.04,,Plain,0.72,
151,BTA8131,,BTA,,,Round,5.4,4.3,4.01,,Pattern,0.18,
152,BTA8132,,BTA,,,Round,5.4,5.46,5.1,,Pattern,0.41,
153,BTA8133,,BTA,,,Round,5.4,7.03,6.55,,Plain,0.45,
154,BTA8134,,BTA,,,Round,3.6,4.8,4.74,,Pattern,0.62,
155,BTA8135,,BTA,,,Round,4.1,4.19,3.91,,Plain,0.184,
156,BTA8136,,BTA,,,Oval,7.0*5.0,4.04,3.77,,Plain,0.8,
157,BTA8137,,BTA,,,Round,4.1,5.17,4.82,,Plain,0.43,
158,BTA8138,,BTA,,,Round,3.6,3.06,2.86,,Plain,0.51,
159,BTA8139,,BTA,,,Pear,6.0*4.0,3.06,2.86,,Plain,0.16,
160,BTA8140,,BTA,,,Emerald,6.0*4.0,5.24,4.89,,Plain,0.59,
161,BTA8141,,BTA,,,Emerald,6.5*4.5,4.69,3.92,,Plain,0.66,
162,BTA8142,,BTA,,,Cushion,5.5,4.99,4.17,,Plain,0.4,
163,BTA8143,,BTA,,,Pear,6.0*4.0,3.33,2.78,,Pattern,0.57,
164,BTA8144,,BTA,,,Heart,3.5,1.13,1.05,,Plain,0.14,
165,BTA8145,,BTA,,,Round,,3.4,3.17,,Plain,0.18,
166,BTA8146,,BTA,,,Round,,6.5,6.06,,Plain,0.23,
,BTA8147,,BTA,,,,,,,,,,
,BTA8148,,BTA,,,,,,,,,,
,BTA8149,,BTA,,,,,,,,,,
,BTA8150,,BTA,,,,,,,,,,
,BTA8151,,BTA,,,,,,,,,,
167,BTA9001,,BTA,,,Round,6.8,6.63,6.18,,Plain,2.22,
168,BTA9002,,BTA,,,Round,6.8,7.91,7.38,,Plain,3.56,
169,BTA9003,,BTA,,,Princess,6,6.15,5.73,,Plain,0.58,
170,CTA1377,,NTT,,11,,,2.27,2.12,,Plain,0.022,
171,CTA1377,,NTT,,13,,,2.27,2.11,,Plain,0.02,
172,CTA1377,,NTT,,16,,,2.37,2.21,,Plain,0.02,
173,CTA1377,,NTT,,19,,,2.47,2.3,,Plain,0.02,
174,CTA1379,,NTT,,11,,,2.74,2.55,,Plain,0.022,
175,CTA1379,,NTT,,13,,,2.7,2.52,,Plain,0.02,
176,CTA1379,,NTT,,16,,,2.8,2.61,,Plain,0.02,
177,CTA1379,,NTT,,19,,,2.9,2.7,,Plain,0.02,
178,CTA1382,,NTT,,11,,,2.36,2.2,,Plain,0.022,
179,CTA1382,,NTT,,13,,,2.4,2.23,,Plain,0.02,
180,CTA1382,,NTT,,16,,,2.49,2.32,,Plain,0.02,
181,CTA1382,,NTT,,19,,,2.56,2.39,,Plain,0.02,
182,MDA0007,,MDA,,,,,1.98,1.85,,Plain,0.01,
183,MDA0008,,MDA,,,,,2.78,2.59,,Plain,0.04,
184,MDA0009,SICULA,MDA,,,,,2.79,2.56,,Pattern,0.04,
185,MDA0010,,MDA,,,Round,3.6,1.08,1.01,,Plain,,
186,MDA0010,,MDA,,,Round,5,2.65,2.47,,Plain,,
187,MDA0010,,MDA,,,Round,4.5,2.03,1.89,,Plain,,
188,MDA0011,SICULA,MDA,,,,,3.1,2.89,,Pattern,0.019,
189,MDA0012,,MDA,,,,,2.7,2.52,,Plain,0.01,
