ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height
432.0,NCC2080,Petal of Joy ,Nhẫn cưới,,M.18-F.12,,,
433.0,NCC2081,Petal of Happiness ,Nhẫn cưới,,M.18-F.11,,,
434.0,NCC2090,,Nhẫn cưới,,M.15-F.11,,,
435.0,NCC2091,,Nhẫn cưới,,M.19-F.11,,,
436.0,NCC2092,,Nhẫn cưới,,M.19-F.11,,,
437.0,NCC2093,,Nhẫn cưới,,M.18.5-F.8.5,,,
438.0,NCC3001,,Nhẫn cưới,,M.18-F.10,,,
439.0,NCC3002,,Nhẫn cưới,,M.25-F.07,,,
440.0,NCC3003,,Nhẫn cưới,,M.16-F.11,,,
441.0,NCC3004,,Nhẫn cưới,,M.16-F.08,,,
442.0,NCC3005,,Nhẫn cưới,,M.17.5-F.8,,,
443.0,NCC3006,,Nhẫn cưới,,M.16-F.09,,,
444.0,NCC3007,,Nhẫn cưới,,M.20-F.10,,,
445.0,NCC3008,,Nhẫn cưới,,M.20-F.10,,,
446.0,NCC3009,,Nhẫn cưới,,M.17-F.10,,,
447.0,NCC3010,,Nhẫn cưới,,M.12-F.09,,,
448.0,NCC3011,,Nhẫn cưới,,M.18-F.10,,,
449.0,NCC3012,,Nhẫn cưới,,M.15-F.09,,,
450.0,NCC3013,,Nhẫn cưới,,M.15-F.10,,,
451.0,NCC3015,,Nhẫn cưới,,M.16-F.11,,,
452.0,NCC3024,Love'Em,Nhẫn cưới,,M.15-F.11.5,,,
453.0,NCC3026,,Nhẫn cưới,,M.16-F.08,,,
454.0,NCC3030,Love Life,Nhẫn cưới,,M.18-F.11.5,,,
455.0,NCC5001,,Nhẫn cưới,,M.18-F.11,,,
456.0,NCC5002,,Nhẫn cưới,,M.19-F.10,,,
457.0,NCC5003,,Nhẫn cưới,,M.16-F.09,,,
458.0,NCC5004,,Nhẫn cưới,,M.15-F.10,,,
459.0,NCC5005,,Nhẫn cưới,,M.15-F.10,,,
460.0,NCC5006,,Nhẫn cưới,,M.17-F.09,,,
461.0,NCC5007,,Nhẫn cưới,,M.18-F.10,,,
462.0,NCC5008,,Nhẫn cưới,,M.15-F.08,,,
463.0,NCC5009,,Nhẫn cưới,,M.12-F.12,,,
464.0,BNC7001,Always You ,Nhẫn cưới,,M.13.5-F.11,,,
465.0,NCC7002,Perfect Half ,Nhẫn cưới,,M.19-F.11,,,
