ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
174.0,Heart, 4.0*4.0 , 2.43 , 2.27 ,   , Plain , Hồng 
175.0, ,   , 1.20 , 1.10 ,   , Plain , Hồng 
176.0,Round, 6.8 - 5.4 , 6.63 , 6.18 ,   , Plain , Trắng-Vàng 
177.0,Round, 6.8 , 7.91 , 7.38 ,   , Plain , Trắng 
178.0,Princess, 6.0 , 6.15 , 5.73 ,   , Plain , Trắng 
179.0,Round, 5.4 , 3.37 , 2.82 , 4.52 ,   ,
180.0,Round, 5.4 , 3.04 , 2.54 , 4.08 ,   ,
181.0,Round, 5.4 , 2.83 , 2.37 , 3.79 ,   ,
182.0,Round, 5.4 , 3.32 , 2.77 , 4.45 ,   ,
183.0,Round, 6.3 , 3.28 , 2.74 , 4.39 ,   ,
184.0,Round, 5.4 , 3.24 , 2.71 , 4.34 ,   ,
185.0,Round, 5.4 , 3.22 , 2.69 , 4.31 ,   ,
186.0,Round, 5.4 , 3.34 , 2.79 , 4.48 ,   ,
187.0,Round, 5.4 , 3.64 , 3.04 , 4.88 ,   ,
188.0,Round, 6.3 , 3.62 , 3.03 , 4.86 ,   ,
189.0,,,,,,, Trắng 
190.0,,,,,,, Trắng 
191.0,,,,,,, Trắng 
192.0,,,,,,, Trắng 
193.0,,,,,,, Trắng 
194.0,,,,,,, Vàng 
195.0,,,,,,, Hồng 
196.0,,,,,,, Trắng 
197.0,,,,,,, Trắng 
198.0,,,,,,, Trắng 
199.0,,,,,,, Trắng 
200.0,,,,,,, Hồng 
201.0,,,,,,, Trắng 
202.0,,,,,,, Hồng 
203.0,,,,,,, Trắng 
204.0,,,,,,, Trắng 
205.0,,   , 1.98 , 1.85 ,   , Plain , Trắng-Vàng 
206.0,,   , 2.78 , 2.59 ,   , Plain , Hồng 
207.0,,   , 2.79 , 2.56 ,   , Pattern , Hồng 
208.0,Round, 3.6 , 1.08 , 1.01 ,   , Plain , Trắng 
209.0,Round, 5.0 , 2.65 , 2.47 ,   , Plain , Trắng 
210.0,Round, 4.5 , 2.03 , 1.89 ,   , Plain , Trắng 
211.0,,   , 3.10 , 2.89 , 4.08 , Pattern , Trắng-Hồng 
212.0,,   , 2.70 , 2.52 ,   , Plain ,
213.0,,   , 0.11 , 0.11 ,   , Plain , Vàng 
214.0,,   , 0.13 , 0.12 ,   , Plain , Hồng 
215.0,,   , 0.96 , 0.90 , 1.30 , Pattern , Vàng 
216.0,,   , 1.11 , 1.02 , 1.46 , Pattern , Vàng 
217.0,,, 1.82 , 1.52 ,, Plain , Vàng 
218.0,,, 0.66 , 0.79 ,, Plain , Vàng 
219.0, ,   , 1.11 , 1.02 ,   , Pattern , Vàng 
220.0, ,   , 1.83 , 1.68 ,   , Pattern , Vàng 
221.0,,   , 1.04 , 0.96 ,   , Pattern , Trắng-Vàng 
222.0,,   , 1.80 , 1.65 ,   , Pattern , Trắng-Hồng 
223.0,,   , 1.27 , 1.19 ,   , Plain , Vàng 
224.0,,   , 3.10 , 2.89 ,   , Plain , Trắng-Vàng 
225.0, ,   , 2.43 , 2.23 ,   , Pattern , Hồng 
226.0, ,   , 2.51 , 2.30 ,   , Pattern , Trắng-Vàng 
227.0, ,   , 2.07 , 1.90 ,   , Pattern , Trắng-Vàng 
228.0,Round, 4.1 , 0.27 , 0.25 ,   , Plain , Trắng 
229.0,Round, 4.5 , 0.93 , 0.86 ,   , Plain , Trắng 
230.0,Heart, 5.4 , 0.24 , 0.20 , 0.31 , Plain , Trắng 
231.0,Emerald, 8.3*6.1 , 1.65 , 1.54 ,   , Plain , Trắng 
232.0,Heart, 5.49*6.66 , 0.86 , 0.79 , 1.14 , Plain , Trắng 
233.0,Oval, 12.0*7.5 , 1.37 , 1.28 ,   , Plain , Trắng 
234.0,Cushion, 6.3*5.1 , 1.18 , 1.09 ,   , Plain , Trắng 
235.0,Princess, 5.5 , 1.31 , 1.22 ,   , Plain , Trắng 
236.0,Princess, 4.1 , 0.97 , 0.79 ,   , Plain , Trắng 
237.0,Round, 4.1 , 0.58 , 0.54 ,   , Plain , Trắng 
238.0,Round, 4.5 , 0.60 , 0.55 , 0.79 , Plain , Trắng 
239.0,Round, 4.5 , 0.72 , 0.67 ,   , Plain , Trắng 
240.0,Round, 4.5 , 0.36 , 0.34 ,   , Plain , Trắng 
241.0,Round, 4.5 , 1.04 , 0.95 ,   , Plain , Trắng 
242.0,Round, 4.5 , 1.16 , 1.06 ,   , Plain , Trắng 
243.0,Round, 5.4 , 1.70 , 1.59 ,   , Plain , Trắng 
244.0,Round, 5.4 , 1.68 , 1.57 ,   , Plain , Trắng 
245.0,Round, 5.4 , 1.42 , 1.33 ,   , Plain , Trắng 
246.0,Round, 5.4 , 1.74 , 1.62 ,   , Plain , Trắng 
247.0,Round, 5.0 , 1.63 , 1.52 ,   , Plain , Trắng 
248.0,Round, 5.0 , 2.29 , 2.13 ,   , Plain , Trắng 
249.0,Round, 5.4 , 1.83 , 1.71 ,   , Plain , Trắng 
250.0,Round, 5.4 , 1.49 , 1.39 ,   , Plain , Trắng 
251.0,Round, 4.5 , 1.27 , 1.19 ,   , Plain , Trắng 
252.0,Round, 5.4 , 1.41 , 1.18 ,   , Plain , Trắng 
253.0,Round, 5.4 , 2.63 , 2.46 ,   , Plain , Trắng 
254.0,Round, 5.0 , 3.94 , 3.68 ,   , Plain , Trắng 
255.0,Emerald, 6.0*5.0 , 3.06 , 2.81 ,   , Pattern , Trắng 
256.0,Round, 7.2 , 4.31 , 3.96 ,   , Plain , Trắng 
257.0,Cushion, 5.4 , 2.02 , 1.88 ,   , Plain , Trắng 
258.0,Cushion, 5.5 , 3.48 , 3.25 ,   , Plain , Trắng 
259.0,Cushion, 5.4 , 2.02 , 1.88 ,   , Plain , Trắng 
260.0,Round, 5.4 , 1.38 , 1.28 ,   , Plain , Trắng 
261.0,,   , 3.48 , 3.24 ,   , Plain , Trắng 
262.0,,   , 5.14 , 4.80 ,   , Plain , Trắng 
263.0,Round, 3.6 , 1.17 , 1.09 ,   , Plain , Trắng 
264.0,Round, 4.1 , 1.39 , 1.28 ,   , Plain , Trắng 
265.0,Round, 5.4 , 2.23 , 2.08 ,   , Pattern , Hồng 
266.0,Round, 5.4 , 1.39 , 1.30 ,   , Plain , Trắng 
267.0,Round, 4.1 , 0.54 , 0.51 ,   , Plain , Trắng 
268.0,Round, 4.0 , 1.83 , 1.70 ,   , Pattern , Hồng 
269.0,Round, 5.0 , 2.36 , 2.20 ,   , Pattern , Trắng 
270.0,Round, 5.5 , 1.84 , 1.71 ,   , Plain , Trắng 
271.0,Round, 4.5 , 2.56 , 2.39 ,   , Plain , Trắng 
272.0,Round, 4.5 , 0.70 , 0.65 ,   , Plain , Trắng-Hồng 
273.0,Round, 5.4 , 1.13 , 1.06 ,   , Plain , Trắng 
274.0,Round, 3.6 , 2.66 , 2.44 ,   , Plain , Trắng 
275.0,Round, 4.5 , 1.30 , 1.20 ,   , Plain , Trắng 
276.0,Round, 4.5 , 0.58 , 0.53 , 0.77 , Plain , Trắng 
277.0,Round, 3.6 , 0.75 , 0.69 ,   , Plain , Trắng 
278.0,Round, 4.5 , 0.99 , 0.91 ,   , Plain , Trắng 
279.0,Round, 5.4 , 2.82 , 2.63 ,   , Plain , Trắng 
280.0,Pear, 8.0*6.0 , 3.44 , 2.87 ,   , Pattern , Trắng 
281.0,Oval, 8.0*6.0 , 2.17 , 1.81 ,   , Plain , Trắng 
282.0,Round, 6.3 , 3.55 , 2.96 ,   , Plain , Trắng 
283.0,Pear, 9*7 , 2.25 , 2.07 , 2.98 , Plain , Trắng 
284.0,Emerald, 7.0*5.0 , 2.72 , 2.53 ,   , Plain , Vàng 
285.0,Emerald, 7.5*5.5 , 2.83 , 2.64 ,   , Plain , Hồng 
286.0,Cushion, 6.5 , 2.57 , 2.15 ,   , Plain , Hồng 
287.0,Round, 6.3 , 3.35 , 2.80 ,   , Plain , Trắng 
288.0,Round, 4.5 , 2.65 , 2.21 ,   , Plain , Trắng 
289.0,,   , 5.67 , 5.29 ,   , Plain , Trắng 
290.0,Pear, 8.0*4.9 , 2.75 , 2.70 ,   , Plain , Trắng 
291.0,Round, 4.1 , 0.88 , 0.86 ,   , Plain , Trắng 
292.0,Round, 4.5 , 0.62 , 0.58 ,   , Plain , Trắng 
293.0,Marquise, 7.0*3.5 , 1.60 , 1.49 ,   , Plain , Trắng 
294.0,Round, 4.5 , 0.74 , 0.69 ,   , Plain , Trắng 
295.0,Round, 5.4 , 1.35 , 1.26 ,   , Pattern , Trắng 
296.0,,   , 2.12 , 1.77 ,   , Plain , Trắng 
297.0,,   , 2.36 , 2.17 ,   , Plain , Trắng 
298.0,Heart, 5.4 , 3.94 , 3.68 ,   , Plain , Trắng 
299.0,,   , 0.96 , 0.90 ,   , Plain , Trắng 
300.0, ,   , 2.06 , 1.92 ,   , Pattern , Trắng-Hồng 
301.0, ,   , 1.25 , 1.15 ,   , Plain , Trắng 
302.0, ,   , 1.08 , 1.00 ,   , Plain , Trắng 
303.0,Heart, 5.0*5.0 , 2.74 , 2.56 ,   , Plain , Hồng 
304.0, ,   , 1.23 , 1.13 ,   , Plain , Hồng 
