ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
1488,50,42,-,27,19,-,14
1489,20,16,-,13,9,-,6
1490,16,10,-,16,10,-,7
1491,34,30,-,14,10,-,7
1492,37,33,-,16,11,-,8
1493,15,11,-,14,9,-,6
1494,15,10,-,15,10,-,7
1495,21,17,-,14,10,-,8
1496,22,18,-,16,11,-,8
1497,15,11,-,12,8,-,6
1498,17,12,-,16,11,-,7
1499,20,17,-,14,10,-,7
1500,23,18,-,16,12,-,8
1501,12,9,-,10,7,-,5
1502,14,9,-,14,9,-,6
1503,13,9,-,11,8,-,5
1504,14,10,-,13,9,-,6
1505,13,10,-,12,8,-,6
1506,14,9,-,14,9,-,6
1507,10,7,-,10,7,-,5
1508,13,8,-,13,8,-,6
1509,13,9,-,11,7,-,5
1510,15,10,-,14,9,-,6
1511,8,6,-,8,5,-,4
1512,10,7,-,10,7,-,5
1513,19,15,-,14,10,-,7
1514,14,10,-,13,9,-,6
1515,13,10,-,11,8,-,5
1516,22,17,-,14,10,-,6
1517,13,10,-,10,7,-,5
1518,11,7,-,11,7,-,5
1519,18,14,-,13,9,-,7
1520,22,17,-,16,12,-,8
1521,20,16,-,13,9,-,7
1522,14,10,-,14,10,-,6
1523,18,13,-,17,11,-,8
1524,19,13,-,19,13,-,8
1525,14,10,-,13,9,-,6
1526,17,11,-,17,11,-,8
1527,11,8,-,11,8,-,5
1528,14,10,-,14,10,-,6
1529,13,9,-,12,8,-,6
1530,19,14,-,14,10,-,7
1531,12,9,-,12,8,-,6
1532,14,10,-,14,10,-,7
1533,17,12,-,16,11,-,7
1534,18,13,-,18,12,-,8
1535,14,10,-,12,9,-,6
1536,18,12,-,18,12,-,8
1537,26,19,-,24,16,-,11
1538,28,20,-,26,18,-,12
1539,23,16,-,23,16,-,11
1540,36,26,-,29,20,-,14
1541,28,20,-,25,17,-,12
1542,19,13,-,19,13,-,9
1543,31,21,-,30,20,-,14
1544,44,35,-,31,22,-,16
1545,44,35,-,31,22,-,16
1546,28,20,-,25,17,-,12
1547,32,23,-,29,20,-,14
1548,72,63,-,30,21,-,15
1549,24,18,-,21,15,-,10
1550,34,26,-,27,19,-,13
1551,40,32,-,30,21,-,16
1552,35,26,-,28,20,-,14
1553,38,26,-,36,24,-,16
1554,36,25,-,34,23,-,16
1555,32,22,-,30,21,-,14
1556,26,18,-,26,18,-,12
1557,32,24,-,27,18,-,13
1558,27,19,-,27,18,-,13
1559,32,23,-,31,21,-,15
1560,35,27,-,26,18,-,12
1561,,,,,,,
1562,,,,,,,
1563,,,,,,,
1564,,,,,,,
