ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height,status
183,CHS3001,,Nhẫn cầu hôn,,12,1.5,,7,Inactive
184,CHS3202,,Nhẫn cầu hôn,,11,1.3,,6.8,Inactive
185,CHS9910,,Nhẫn cầu hôn,,11,1.3,,7,Inactive
186,CHS9911,,Nhẫn cầu hôn,,11,1.3,,8.3,Inactive
187,CHS9920,,Nhẫn cầu hôn,,12,1.4,,7.4,Inactive
188,CHS9921,,Nhẫn cầu hôn,,12,1.4,,7.9,Inactive
189,DCA1111,Mắt xích tròn,Dây chuyền,,42,,,,Active
190,DCA1112,Mắt xích tròn,Dây chuyền,,42,,,,Active
191,DCA1122.42,Mắt xích tròn,Dây chuyền,,42,,,,Active
192,DCA1122.45,Mắt xích tròn,Dây chuyền,,45,,,,Active
193,DCA1312,Mắt xích tròn,Dây chuyền,,42,,,,Active
194,DCA1322,Mắt xích tròn,Dây chuyền,,42,,,,Active
195,DCA1332,Mắt xích tròn,Dây chuyền,,42,,,,Active
196,DCA2311,Mắt xích hộp,Dây chuyền,,45,,,,Active
197,DCA3113.42,Chuỗi sóng nước,Dây chuyền,,42,,,,Active
198,DCA3113.45,Chuỗi sóng nước,Dây chuyền,,45,,,,Active
199,DCA4311,Mắc tre,Dây chuyền,,42,,,,Active
200,DCA5331,Mắt xích tròn,Dây chuyền,,42,,,,Active
201,DCA6312,Mắt xích hộp,Dây chuyền,,42,,,,Active
202,DCA6332,Mắt xích hộp,Dây chuyền,,42,,,,Active
203,DCA7112.42,Khác,Dây chuyền,,42,,,,Active
204,DCA7112.45,Khác,Dây chuyền,,45,,,,Active
205,MDA0007,Choco Orange,Mặt dây chuyền,,,,,,Active
206,MDA0008,Dry Orange,Mặt dây chuyền,,,,,,Active
207,MDA0009,Heart Cube,Mặt dây chuyền,,,,,,Active
208,BMD0010,,Mặt dây chuyền,,,,,,Active
209,BMD0010,,Mặt dây chuyền,,,,,,Active
210,BMD0010,,Mặt dây chuyền,,,,,,Active
211,MDA0011,Sweet Cherry,Mặt dây chuyền,,,,,,Active
212,BMD0012,,Mặt dây chuyền,,,,,,Active
213,MDA0015,,Mặt dây chuyền,,,,,,Active
214,MDA0016,Sweet Cherry,Mặt dây chuyền,,,,,,Active
215,MDA0017,Nút Thắt Tường An,Mặt dây chuyền,,,,,,Active
216,MDA0020,Xuân Đào,Mặt dây chuyền,,,,,,Active
217,MDA0021,Kim Xà Chiêu Phúc,Mặt dây,,,,,,Active
218,MDA0022,Hoàng Mai Chiêu Lộc,Mặt dây,,,,,,Active
219,MDA0024,Teddy Huggie,Mặt dây chuyền,,,,,,Active
220,MDA0025,Cheese Donut,Mặt dây chuyền,,,,,,Active
221,MDA0101,Piece Of Choco,Mặt dây chuyền,,,,,,Active
222,MDA0102,Choco Heart,Mặt dây chuyền,,,,,,Active
223,MDA0103,Choco Letter,Mặt dây chuyền,,,,,,Active
224,MDA0104,Choco Pie,Mặt dây chuyền,,,,,,Active
225,MDA0108,Cookie Bear,Mặt dây chuyền,,,,,,Active
226,MDA0109,Waffle Honey Cake,Mặt dây chuyền,,,,,,Active
227,MDA0110,Bear Candy,Mặt dây chuyền,,,,,,Active
228,BMD1101,,Mặt dây chuyền,,,,,,Active
229,BMD1102,,Mặt dây chuyền,,,,,,Active
230,MDA1103,,Mặt dây chuyền,,,,,,Active
