ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
Pattern,Shape2,Size2,SL2,Shape3,Size3,,
636,Round,5.4,1.64,1.37,-,,
637,Round,5.4,1.78,1.49,-,,
638,Round,5.4,1.8,1.5,-,,
639,Round,5.4,3.02,2.77,3.99,,
640,Round,5.4,3.15,2.89,4.16,,
641,Round,5.4,2.86,2.39,3.78,,
642,Round,6.3,2.22,1.85,2.93,,
643,Round,5.4,2.45,2.05,3.23,,
644,Round,5.4,2.48,2.07,3.27,,
645,Round,5.4,2.3,1.92,3.04,,
646,Round,5.4,6.16,5.68,,,
647,Round,5.4,2.72,2.27,3.59,,
648,Round,5.4,4.38,4.08,,,
649,Round,5.4,3.11,2.6,,,
650,Round,5.4,3.55,3.31,,,
651,Round,5.4,2.63,2.2,,,
652,Round,5.4,2.94,2.46,3.88,,
653,Princess,5,4.1,3.43,,,
654,Round,5.4,2.1,1.75,2.77,,
655,Round,5.4,2.11,1.76,2.79,,
656,Round,6.3,2.95,2.71,3.9,,
657,Round,5.4,2.37,1.98,3.13,,
658,Round,5.4,2.58,2.16,3.41,,
659,Round,6.3,3.58,3.29,4.73,,
660,Round,5.4,2.59,2.16,3.42,,
661,Round,5.4,2.86,2.39,,,
662,Round,5.4,2.28,2.1,,,
663,Round,5.4,2.14,1.79,2.82,,
664,Round,5.4,2.02,1.69,2.67,,
665,Round,5.4,2.53,2.12,3.34,,
666,Round,5.4,2.19,1.83,2.89,,
667,Round,5.4,2.16,1.8,2.85,,
668,Round,4.5,2.91,2.67,3.84,,
669,Round,5.4,2.32,1.94,3.06,,
670,Round,5.4,2.6,2.39,3.43,,
671,Round,5.4,3.38,3.11,,,
672,Round,5,2.66,2.22,3.51,,
673,Round,5.4,2.76,2.3,3.64,,
674,Round,5.4,3.15,2.64,4.16,,
675,Round,4.5,2.17,1.82,2.86,,
676,Round,5.4,2.64,2.21,3.48,,
677,Round,5.4,4.99,4.66,,,
