,,,,,,,,,,,,,,,Shape và Size tấm >>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,">>>,2D,inputs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
STT,Mã Thiết Kế,Tên gọi riêng,Dòng hàng,Đường kính vòng (cm),Ni,Shape viên chủ, Size viên chủ , Vàng 18k , Vàng 14k , Pt900 , Vàng 10K ,"Plain/
Pattern", TL tấm (KC) , TL tấm (CZ) ,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,Loại ĐH mặc định khi có bất kỳ chỉnh sửa nào,Kích thước độ DÀY THÂN - Mặc định,Kích thước độ RỘNG THÂN - Mặc định,Kích thước độ DÀY ĐÁY - Mặc định,Kích thước độ RỘNG ĐÁY - Mặc định2,Kích thước độ DÀY ĐIỂM TRÊN - Mặc định,Kích thước độ RỘNG ĐIỂM TRÊN - Mặc định,Kích thước chiều CAO ổ/chấu,Plantinum (Có/Không),Nguyên nhân/Rủi ro Không làm Platinum,"Tên sản phẩm (Công bố Website)
Dòng hàng + Tên gọi riêng + Mã Thiết kế",Tên ngắn gọn,Cảm hứng thiết kế,Bộ sưu tập,Thời gian ra mắt,Image link, Dia+18K , Dia+14K , Dia+Pt900 , CZ+18K , CZ+14K , CZ+Pt900 , Dia+10K , CZ+10K ,Best-Selling,"Kiểu dáng
Main Catalogue","Kiểu dáng
Sub Catalogue",Vàng Trắng,Vàng Vàng,Vàng Hồng,Màu sắc mặc định Catalogue,Tấm (Có/Không),Brand Class,Product Class,Status,New version,Batch
860,NCM1020,,Nhẫn cưới nam,,17,,   , 4.34 , 3.63 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,3.60,1.60,3.60,,,,,,Nhẫn cưới nam NCM1020,0,0,Tierra Base Products,,," 22,670,000 "," 15,230,000 "," 23,090,000 "," 22,670,000 "," 15,230,000 "," 23,090,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng , No , PREMIUM , E1 , Active , -   , -   
861,NCM1021,,Nhẫn cưới nam,,16,,   , 5.36 , 4.92 , 7.07 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,2.90,1.60,2.90,,,,,,Nhẫn cưới nam NCM1021,0,0,Tierra Base Products,,," 28,690,000 "," 21,180,000 "," 27,200,000 "," 28,690,000 "," 21,180,000 "," 27,200,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Hồng , No , PREMIUM , Class C , Active , -   , -   
862,NCM1022,,Nhẫn cưới nam,,16,,   , 3.72 , 3.42 , 4.91 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,2.50,1.50,2.50,,,,,,Nhẫn cưới nam NCM1022,0,0,Tierra Base Products,,," 20,620,000 "," 15,430,000 "," 21,170,000 "," 20,620,000 "," 15,430,000 "," 21,170,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng , No , PREMIUM , Class A , Active , -   , -   
863,NCM1023,,Nhẫn cưới nam,,18,,   , 3.17 , 2.65 ,   ,, Pattern , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,2.80,1.30,2.80,,,,,,Nhẫn cưới nam NCM1023,0,0,Tierra Base Products,,," 17,920,000 "," 12,480,000 "," 18,450,000 "," 17,920,000 "," 12,480,000 "," 18,450,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Vàng , No , PREMIUM , E1 , Active , -   , -   
864,BCM1024,,Nhẫn cưới nam,,17,,   , 3.24 , 2.71 ,   , 2.41 , Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,2.60,1.30,2.50,,,,,,Nhẫn cưới nam BCM1024,0,0,Tierra Base Products,,," 17,260,000 "," 11,710,000 ", - ," 17,260,000 "," 11,710,000 ", - , - ," 7,920,000 ",,Truyền Thống,, Yes , Yes , Yes , Trắng , No , PREMIUM SMART , E3 , Active , -   , - 
865,NCM1025,,Nhẫn cưới nam,,17,,   , 6.59 , 6.05 , 8.70 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,3.70,1.60,3.70,,,,,,Nhẫn cưới nam NCM1025,0,0,Tierra Base Products,,," 32,540,000 "," 23,930,000 "," 30,430,000 "," 32,540,000 "," 23,930,000 "," 30,430,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Vàng , No , PREMIUM , Class C , Active , -   , -   
866,NCM1027,,Nhẫn cưới nam,,16,,   , 5.67 , 5.21 , 7.49 ,, Pattern , 0.06 ,,Round,0.8*0.8,1,Round,0.9*0.9,1,Round,1.0*1.0,2,Round,1.1*1.1,2,Round,1.2*1.2,6,,,,,,,,,,,,,,,,,1.70,3.80,1.40,3.80,,,,,,Nhẫn cưới nam NCM1027,0,0,Tierra Base Products,,," 34,770,000 "," 26,840,000 "," 33,350,000 "," 31,380,000 "," 23,450,000 "," 29,970,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , -   
867,NCM1028,,Nhẫn cưới nam,,17,,   , 3.82 , 3.51 , 5.04 ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,2.60,1.40,2.60,,,,,,Nhẫn cưới nam NCM1028,0,0,Tierra Base Products,,," 20,120,000 "," 14,780,000 "," 20,570,000 "," 20,120,000 "," 14,780,000 "," 20,570,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng , No , PREMIUM , Class C , Active , -   , -   
868,NCM1036,,Nhẫn cưới nam,,18.5,,   , 3.46 , 3.23 , 4.64 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,2.50,1.40,1.90,,,,,,Nhẫn cưới nam NCM1036,0,LOẠI 3,Yêu Thương Vàng Son,,," 19,350,000 "," 14,700,000 "," 20,180,000 "," 19,350,000 "," 14,700,000 "," 20,180,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Vàng , No , PREMIUM , E3 , Active , -   , -   
869,NCM1037,,Nhẫn cưới nam,,18,,   , 4.53 , 4.22 , 6.07 ,, Plain , 0.01 ,,Round,1.2*1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,3.10,1.80,3.10,,,,,,Nhẫn cưới nam NCM1037,0,0,Yêu Thương Vàng Son,,," 24,110,000 "," 17,990,000 "," 23,380,000 "," 23,780,000 "," 17,670,000 "," 23,060,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , Class C , Active , -   , -   
870,NCM1038,,Nhẫn cưới nam,,15,,   , 3.83 , 3.52 , 5.06 ,, Plain ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,2.60,1.50,2.60,,,,,,Nhẫn cưới nam NCM1038,0,0,Yêu Thương Vàng Son,,," 20,160,000 "," 14,810,000 "," 20,720,000 "," 20,160,000 "," 14,810,000 "," 20,720,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , No , PREMIUM , Class A , Active , -   , -   
871,NCM1039,,Nhẫn cưới nam,,14,,   , 3.41 , 3.18 , 4.57 ,, Plain , 0.01 ,,Round,1.5*1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,2.70,1.60,2.70,,,,,,Nhẫn cưới nam NCM1039,0,0,Yêu Thương Vàng Son,,," 18,750,000 "," 14,170,000 "," 19,650,000 "," 18,280,000 "," 13,690,000 "," 19,180,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E3 , Active , -   , -   
872,NCM1040,,Nhẫn cưới nam,,14,,   , 4.31 , 4.02 , 5.78 ,, Pattern , 0.02 ,,Princess,1.5*1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,3.20,1.30,2.50,,,,,,Nhẫn cưới nam NCM1040,0,0,Yêu Thương Vàng Son,,," 24,360,000 "," 18,560,000 "," 25,270,000 "," 23,840,000 "," 18,040,000 "," 24,750,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , Class C , Active , -   , -   
873,NCM1041,,Nhẫn cưới nam,,13,,   , 4.13 , 3.85 ,   ,, Pattern , 0.01 ,,Round,0.8*0.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,3.40,1.40,3.40,,,,Không,Họa Tiết nhỏ ráp phức tạp,Nhẫn cưới nam NCM1041,0,0,Yêu Thương Vàng Son,,," 24,020,000 "," 18,460,000 ", - ," 23,110,000 "," 17,550,000 ", - , - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , E2 , Active , -   , -   
874,NCM1042,,Nhẫn cưới nam,,16,,   , 4.51 , 4.14 , 5.95 ,, Pattern , 0.01 ,,Round,1.5*1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,3.40,1.40,3.40,,,,,,Nhẫn cưới nam NCM1042,0,LOẠI 3,Yêu Thương Vàng Son,,," 25,250,000 "," 18,930,000 "," 25,810,000 "," 24,780,000 "," 18,460,000 "," 25,330,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Vàng , Yes , PREMIUM , E2 , Active , -   , -   
875,NCM1043,,Nhẫn cưới nam,,19,,   , 5.36 , 4.92 , 7.07 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,2.70,1.30,2.00,,,,,,Nhẫn cưới nam NCM1043,0,0,Yêu Thương Vàng Son,,," 28,690,000 "," 21,180,000 "," 27,200,000 "," 28,690,000 "," 21,180,000 "," 27,200,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , No , PREMIUM , Class C , Active , -   , -   
876,NCM1044,,Nhẫn cưới nam,,19,,   , 5.28 , 4.92 , 7.08 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,3.60,1.40,3.60,,,,,,Nhẫn cưới nam NCM1044,0,0,Yêu Thương Vàng Son,,," 28,290,000 "," 21,180,000 "," 27,240,000 "," 28,290,000 "," 21,180,000 "," 27,240,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , No , PREMIUM , Class C , Active , -   , -   
877,NCM1046,,Nhẫn cưới nam,,19,,   , 4.75 , 4.36 , 6.27 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,2.50,1.40,1.60,,,,,,Nhẫn cưới nam NCM1046,0,0,Yêu Thương Vàng Son,,," 25,690,000 "," 19,030,000 "," 24,480,000 "," 25,690,000 "," 19,030,000 "," 24,480,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Vàng , No , PREMIUM , E3 , Active , -   , -   
878,NCM1047,,Nhẫn cưới nam,,19,,   , 5.70 , 4.74 , 7.52 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,3.00,1.40,3.00,,,,,,Nhẫn cưới nam NCM1047,0,0,Yêu Thương Vàng Son,,," 30,360,000 "," 20,490,000 "," 28,730,000 "," 30,360,000 "," 20,490,000 "," 28,730,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , No , PREMIUM , E3 , Active , -   , -   
879,NCM1048,,Nhẫn cưới nam,,19,,   , 5.53 , 4.68 , 7.41 ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,4.00,1.40,4.00,,,,,,Nhẫn cưới nam NCM1048,0,0,Yêu Thương Vàng Son,,," 29,520,000 "," 20,260,000 "," 28,360,000 "," 29,520,000 "," 20,260,000 "," 28,360,000 ", - , - ,,Truyền Thống,, Yes , Yes , Yes , Trắng-Vàng , No , PREMIUM , E3 , Active , -   , -   
880,NCM2001,,Nhẫn cưới nam,,16,,   , 4.79 , 4.40 , 6.32 ,, Plain , 0.04 ,,Round,2.2*2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,2.60,1.30,2.60,,,,,,Nhẫn cưới nam NCM2001,0,0,Tierra Base Products,,," 20,820,000 "," 15,710,000 "," 20,200,000 "," 19,500,000 "," 14,390,000 "," 18,870,000 ", - , - , Best Selling ,Hiện Đại,, Yes , Yes , Yes , Trắng-Hồng , Yes , PREMIUM , Class A , Active , -   , -   
881,NCM2004,,Nhẫn cưới nam,,24,,   , 4.55 , 3.81 ,   ,, Pattern , 0.04 ,,Round,1.7*1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,3.40,1.50,3.40,,,,,,Nhẫn cưới nam NCM2004,0,0,Tierra Base Products,,," 26,410,000 "," 18,630,000 "," 26,880,000 "," 25,030,000 "," 17,250,000 "," 25,510,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Hồng , Yes , PREMIUM , Class C , Active , -   , -   
882,NCM2006,,Nhẫn cưới nam,,20,,   , 6.56 , 5.48 ,   ,, Plain , 0.23 ,,Baguette,4.0*2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,3.50,1.40,3.50,,,,,,Nhẫn cưới nam NCM2006,0,0,Tierra Base Products,,," 60,030,000 "," 50,950,000 "," 57,900,000 "," 31,780,000 "," 22,700,000 "," 29,660,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , -   
883,NCM2008,,Nhẫn cưới nam,,16,,   , 5.61 , 5.15 , 5.53 ,, Plain , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,3.60,1.30,3.50,,,,,,Nhẫn cưới nam NCM2008,0,0,Tierra Base Products,,," 28,920,000 "," 21,060,000 "," 27,250,000 "," 28,920,000 "," 21,060,000 "," 27,250,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , No , PREMIUM , Class A , Active , -   , -   
884,NCM2014,,Nhẫn cưới nam,,18,,   , 7.65 , 7.03 , 10.10 ,, Plain ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,5.00,1.60,5.00,,,,,,Nhẫn cưới nam NCM2014,0,0,Tierra Base Products,,," 36,400,000 "," 26,430,000 "," 32,470,000 "," 36,400,000 "," 26,430,000 "," 32,470,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Vàng , No , PREMIUM , Class C , Active , -   , -   
885,NCM2016,,Nhẫn cưới nam,,20,,   , 5.56 , 4.64 ,   ,, Plain , 0.01 ,,Round,1.0*1.0,2,Round,1.1*1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,3.50,1.10,3.50,,,,,,Nhẫn cưới nam NCM2016,0,0,Tierra Base Products,,," 29,730,000 "," 20,160,000 "," 28,160,000 "," 28,950,000 "," 19,380,000 "," 27,380,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Hồng , Yes , PREMIUM , E1 , Active , -   , -   
886,NCM2021,,Nhẫn cưới nam,,20,,   , 5.77 , 4.83 ,   ,, Plain , 0.37 ,,Round,1.4*1.4,20,Round,1.3*1.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,5.30,2.20,5.30,,,,,,Nhẫn cưới nam NCM2021,0,0,Tierra Base Products,,," 45,510,000 "," 35,630,000 "," 43,930,000 "," 32,270,000 "," 22,400,000 "," 30,700,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , -   
887,NCM2024,,Nhẫn cưới nam,,20,,   , 8.18 , 7.51 , 10.79 ,, Plain , 0.07 ,,Princess Ngàm,1.5*1.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,6.10,1.20,6.10,1.90,,,,,Nhẫn cưới nam NCM2024,0,0,Tierra Base Products,,," 38,120,000 "," 26,430,000 "," 35,640,000 "," 35,350,000 "," 23,660,000 "," 32,880,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E2 , Active , -   , -   
888,NCM2028,,Nhẫn cưới nam,,15,,   , 6.08 , 5.08 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,4.50,1.50,4.50,,,,,,Nhẫn cưới nam NCM2028,0,0,Tierra Base Products,,," 29,200,000 "," 20,790,000 "," 29,350,000 "," 29,200,000 "," 20,790,000 "," 29,350,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Hồng , No , PREMIUM , E2 , Active , -   , -   
889,NCM2030,,Nhẫn cưới nam,,16,,   , 6.55 , 4.87 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,5.50,1.50,5.50,,,,,,Nhẫn cưới nam NCM2030,0,0,Tierra Base Products,,," 31,350,000 "," 19,980,000 "," 29,150,000 "," 31,350,000 "," 19,980,000 "," 29,150,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Hồng , No , PREMIUM , E2 , Active , -   , -   
890,NCM2032,,Nhẫn cưới nam,,18,,   , 7.33 , 6.13 ,   ,, Plain , 0.09 ,,Round,1.5*1.5,4,Round,1.2*1.2,2,Round,1.3*1.3,2,Round,1.0*1.0,3,Round,1.1*1.1,1,,,,,,,,,,,,,,,,,1.70,4.30,1.70,4.30,,,,,,Nhẫn cưới nam NCM2032,0,0,Tierra Base Products,,," 40,220,000 "," 28,510,000 "," 37,820,000 "," 35,920,000 "," 24,210,000 "," 33,520,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , -   
891,NCM2037,,Nhẫn cưới nam,,15,,   , 3.94 , 3.62 , 5.20 ,, Plain ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,2.80,1.60,1.70,,,,,,Nhẫn cưới nam NCM2037,0,0,Tierra Base Products,,," 20,710,000 "," 15,200,000 "," 21,230,000 "," 20,710,000 "," 15,200,000 "," 21,230,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , No , PREMIUM , E3 , Active , -   , -   
892,NCM2042,,Nhẫn cưới nam,,14,,   , 5.55 , 4.64 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,3.40,1.20,3.10,,,,,,Nhẫn cưới nam NCM2042,0,0,Tierra Base Products,,," 28,620,000 "," 19,100,000 "," 26,980,000 "," 28,620,000 "," 19,100,000 "," 26,980,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , No , PREMIUM , E1 , Active , -   , -   
893,NCM2043,,Nhẫn cưới nam,,18,,   , 3.89 , 3.25 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,2.20,1.30,2.20,,,,,,Nhẫn cưới nam NCM2043,0,0,Tierra Base Products,,," 20,460,000 "," 13,780,000 "," 20,920,000 "," 20,460,000 "," 13,780,000 "," 20,920,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , No , PREMIUM , E1 , Active , -   , -   
894,NCM2047,,Nhẫn cưới nam,,14,,   , 3.30 , 2.76 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,2.20,1.50,2.30,,,,,,Nhẫn cưới nam NCM2047,0,0,Our Story,,," 17,560,000 "," 11,900,000 "," 18,080,000 "," 17,560,000 "," 11,900,000 "," 18,080,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , No , PREMIUM , E1 , Active , -   , -   
895,NCM2049,,Nhẫn cưới nam,,15,,   , 3.29 , 2.75 ,   ,, Plain , 0.02 ,,Round,1.0*1.0,1,Round,1.2*1.2,1,Round,1.3*1.3,1,,,,,,,,,,,,,,,,,,,,,,,1.60,2.80,1.50,2.50,,,,,,Nhẫn cưới nam NCM2049,0,0,Our Story,,," 18,780,000 "," 13,130,000 "," 19,370,000 "," 17,790,000 "," 12,150,000 "," 18,390,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E3 , Active , -   , -   
896,NCM2054,,Nhẫn cưới nam,,15,,   , 5.45 , 4.55 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,4.50,1.60,4.50,,,,,,Nhẫn cưới nam NCM2054,0,0,Tierra Base Products,,," 28,130,000 "," 18,760,000 "," 26,530,000 "," 28,130,000 "," 18,760,000 "," 26,530,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Hồng , No , PREMIUM , E1 , Active , -   , -   
897,NCM2055,,Nhẫn cưới nam,,16,,   , 6.40 , 5.97 ,   ,, Pattern , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,5.00,1.80,5.00,,,,,,Nhẫn cưới nam NCM2055,0,LOẠI 3,Sweet & Sour,,," 31,670,000 "," 25,200,000 "," 29,540,000 "," 31,670,000 "," 25,200,000 "," 29,540,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Vàng-Hồng , No , PREMIUM , E2 , Active , -   , -   
898,NCM2058,,Nhẫn cưới nam,,14,,   , 7.60 , 7.14 ,   ,, Pattern , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,5.00,1.80,5.00,,,,,,Nhẫn cưới nam NCM2058,0,LOẠI 3,Sweet & Sour,,," 37,170,000 "," 27,830,000 "," 34,480,000 "," 37,170,000 "," 27,830,000 "," 34,480,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Vàng , No , PREMIUM , E1 , Active , -   , -   
899,NCM2059,,Nhẫn cưới nam,,17,,   , 5.27 , 4.24 , 6.95 ,, Pattern , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,3.40,1.40,3.40,,,,,,Nhẫn cưới nam NCM2059,0,0,Vow Of Love,,," 28,240,000 "," 18,570,000 "," 26,800,000 "," 28,240,000 "," 18,570,000 "," 26,800,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Hồng , No , PREMIUM , E3 , Active , -   , -   
900,NCM2065,,Nhẫn cưới nam,,15,,   , 6.32 , 5.27 , 8.32 ,, Pattern , 0.02 ,,Round,1.0*1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,3.90,1.40,3.20,,,,,,Nhẫn cưới nam NCM2065,0,0,Our Story,,," 32,870,000 "," 24,060,000 "," 30,850,000 "," 31,740,000 "," 22,940,000 "," 29,720,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E2 , Active , -   , -   
901,NCM2071,Our Day,Nhẫn cưới nam,,15,,   , 5.10 , 4.68 , 6.73 ,, Pattern , 0.02 ,,Round,1.1*1.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,3.30,1.30,3.30,,,,,,Nhẫn cưới nam Our Day NCM2071,OUR DAY,LOẠI 3,Sweet & Sour,,," 28,960,000 "," 21,810,000 "," 27,670,000 "," 27,830,000 "," 20,680,000 "," 26,550,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Hồng , Yes , PREMIUM , Class C , Active , -   , -   
902,NCM2079,Petal of Joy 3,Nhẫn cưới nam,,18,,   , 8.34 , 7.77 ,   ,, Pattern , 0.01 ,,Round,1.3*1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.80,4.60,1.40,3.20,,,,Không,Họa Tiết nhỏ ráp phức tạp,Nhẫn cưới nam Petal of Joy 3 NCM2079,Petal of Joy 3,0,Flower Of Joy,,," 38,420,000 "," 30,720,000 ", - ," 38,050,000 "," 30,340,000 ", - , - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , -   
903,NCM2081,Petal of Happyness 2,Nhẫn cưới nam,,18,,   , 6.11 , 5.61 ,   ,, Pattern , 0.07 ,,Princess,2.2*2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.80,4.00,1.50,4.00,2.00,,,Không,Họa Tiết nhỏ ráp phức tạp,Nhẫn cưới nam Petal of Happyness 2 NCM2081,Petal of Happyness 2,0,Flower Of Joy,,," 33,830,000 "," 26,060,000 ", - ," 31,040,000 "," 23,270,000 ", - , - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , E3 , Active , -   , -   
904,NCM2090,,Nhẫn cưới nam,,15,,   , 9.84 , 9.17 ,   ,, Pattern , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,4.90,2.00,3.40,,,,,,Nhẫn cưới nam NCM2090,0,0,Vow Of Love,,," 44,150,000 "," 32,700,000 "," 40,260,000 "," 44,150,000 "," 32,700,000 "," 40,260,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng , No , PREMIUM , E1 , Active , -   , -   
905,NCM2091,,Nhẫn cưới nam,,19,,   , 4.58 , 4.20 , 6.05 ,, Pattern , 0.02 ,,Princess Ngàm,1.5*1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,3.00,1.40,3.00,,,,,,Nhẫn cưới nam NCM2091,0,LOẠI 3,Yêu Thương Vàng Son,,," 25,910,000 "," 19,480,000 "," 24,870,000 "," 25,160,000 "," 18,730,000 "," 24,120,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , E2 , Active , -   , -   
906,NCM2092,,Nhẫn cưới nam,,19,,   , 5.89 , 5.41 ,   ,, Pattern , 0.05 ,,Princess,2.0*2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,4.00,1.40,4.00,,,,Không,Họa Tiết nhỏ ráp phức tạp,Nhẫn cưới nam NCM2092,0,0,Yêu Thương Vàng Son,,," 32,670,000 "," 24,430,000 ", - ," 31,580,000 "," 23,340,000 ", - , - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , E3 , Active , -   , -   
907,NCM2093,,Nhẫn cưới nam,,18.5,,   , 4.13 , 3.79 , 5.45 ,, Pattern , 0.01 ,,Round,1.2*1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,3.10,1.45,3.10,,,,,,Nhẫn cưới nam NCM2093,0,0,Yêu Thương Vàng Son,,," 23,230,000 "," 17,440,000 "," 23,820,000 "," 22,910,000 "," 17,120,000 "," 23,490,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Trắng-Vàng , Yes , PREMIUM , Class C , Active , -   , -   
908,NCM3002,,Nhẫn cưới nam,,25,Round,4.1, 8.16 , 6.82 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,5.00,1.50,5.00,,,,,,Nhẫn cưới nam NCM3002,0,0,Tierra Base Products,,," 36,010,000 "," 25,680,000 "," 34,360,000 "," 36,010,000 "," 25,680,000 "," 34,360,000 ", - , - ,,Hiện Đại,, Yes , Yes , Yes , Hồng , No , PREMIUM , E1 , Active , -   , -   
