,,,,,,,,,,,,,,,Shape và Size tấm >>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,">>>,2D,inputs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
STT,Mã Thiết Kế,Tên gọi riêng,Dòng hàng,Đường kính vòng (cm),Ni,Shape viên chủ, Size viên chủ , Vàng 18k , Vàng 14k , Pt900 , Vàng 10K ,"Plain/
Pattern", TL tấm (KC) , TL tấm (CZ) ,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,Loại ĐH mặc định khi có bất kỳ chỉnh sửa nào,Kích thước độ DÀY THÂN - Mặc định,Kích thước độ RỘNG THÂN - Mặc định,Kích thước độ DÀY ĐÁY - Mặc định,Kích thước độ RỘNG ĐÁY - Mặc định2,Kích thước độ DÀY ĐIỂM TRÊN - Mặc định,Kích thước độ RỘNG ĐIỂM TRÊN - Mặc định,Kích thước chiều CAO ổ/chấu,Plantinum (Có/Không),Nguyên nhân/Rủi ro Không làm Platinum,"Tên sản phẩm (Công bố Website)
Dòng hàng + Tên gọi riêng + Mã Thiết kế",Tên ngắn gọn,Cảm hứng thiết kế,Bộ sưu tập,Thời gian ra mắt,Image link, Dia+18K , Dia+14K , Dia+Pt900 , CZ+18K , CZ+14K , CZ+Pt900 , Dia+10K , CZ+10K ,Best-Selling,"Kiểu dáng
Main Catalogue","Kiểu dáng
Sub Catalogue",Vàng Trắng,Vàng Vàng,Vàng Hồng,Màu sắc mặc định Catalogue,Tấm (Có/Không),Brand Class,Product Class,Status,New version,Batch
22,BTA1113,,Bông tai,,,Round,3.6, 2.37 , 2.21 ,   ,, Pattern , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA1113,0,0,BTA 2021,,," 13,970,000 "," 11,100,000 "," 14,510,000 "," 13,970,000 "," 11,100,000 "," 14,510,000 ", - , - ,,Stud,All, Yes , Yes , Yes , Trắng , No , PREMIUM , Class C , Active , -   , - 
23,BTA1114,,Bông tai,,,,   , 3.40 , 3.17 ,   ,, Plain , 0.14 ,,Round,1.1*1.1,2,Round,1.0*1.0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA1114,0,Hình học ,BTA 2021,,," 26,740,000 "," 22,630,000 "," 27,330,000 "," 19,400,000 "," 15,290,000 "," 19,990,000 ", - , - ,,Stud,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
24,BTA2101,,Bông tai,,,Round,4.1, 2.42 , 2.02 ,   , 1.80 , Plain , 0.30 ,,Round,1.5*1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2101,0,0,Tierra Base Products,,," 26,020,000 "," 22,280,000 "," 26,730,000 "," 14,610,000 "," 10,870,000 "," 15,320,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class A , Active , -   , - 
25,BTA2102,,Bông tai,,,Round,4.1, 2.42 , 2.25 ,   ,, Plain , 0.33 ,,Round,1.5*1.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2102,0,0,Tierra Base Products,,," 27,100,000 "," 24,150,000 "," 27,810,000 "," 14,740,000 "," 11,790,000 "," 15,440,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
26,BTA2103,,Bông tai,,,Round,3.6, 2.96 , 2.48 ,   ,, Plain , 0.30 ,,Round,1.0*1.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2103,0,0,Tierra Base Products,,," 35,700,000 "," 31,160,000 "," 36,340,000 "," 19,510,000 "," 14,970,000 "," 20,150,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
27,BTA2104,,Bông tai,,,Round,4.1, 3.45 , 3.21 ,   ,, Plain , 0.30 ,,Round,1.5*1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2104,0,0,Tierra Base Products,,," 30,570,000 "," 26,380,000 "," 31,150,000 "," 19,160,000 "," 14,960,000 "," 19,740,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
28,BTA2105,,Bông tai,,,Round,4.1, 3.81 , 3.18 ,   ,, Plain , 0.29 ,,Round,1.4*1.4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2105,0,0,Tierra Base Products,,," 33,070,000 "," 27,190,000 "," 33,610,000 "," 20,910,000 "," 15,020,000 "," 21,450,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
29,BTA2106,,Bông tai,,,Round,4.1, 3.06 , 2.56 ,   ,, Plain , 0.25 ,,Round,1.4*1.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2106,0,0,Tierra Base Products,,," 27,780,000 "," 23,070,000 "," 28,410,000 "," 17,360,000 "," 12,650,000 "," 17,980,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
30,BTA2107,,Bông tai,,,Round,4.1, 2.35 , 1.96 ,   , 1.74 , Plain , 0.30 ,,Round,1.5*1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2107,0,0,Tierra Base Products,,," 25,710,000 "," 22,080,000 "," 26,430,000 "," 14,300,000 "," 10,660,000 "," 15,010,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class A , Active , -   , - 
31,BTA2108,,Bông tai,,,Round,5.4, 3.43 , 2.87 ,   ,, Plain , 0.35 ,,Round,1.5*1.5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2108,0,0,Tierra Base Products,,," 32,640,000 "," 27,360,000 "," 33,220,000 "," 19,320,000 "," 14,050,000 "," 19,910,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E3 , Active , -   , - 
32,BTA2109,,Bông tai,,,Round,5.4, 3.44 , 2.87 ,   ,, Plain , 0.66 ,,Round,2.0*2.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2109,0,0,Tierra Base Products,,," 43,380,000 "," 38,060,000 "," 43,970,000 "," 19,280,000 "," 13,960,000 "," 19,860,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
33,BTA2110,,Bông tai,,,Round,4.5, 3.95 , 3.68 ,   ,, Plain , 0.15 ,,Round,1.0*1.0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2110,0,0,Tierra Base Products,,," 30,110,000 "," 25,330,000 "," 30,630,000 "," 22,010,000 "," 17,230,000 "," 22,530,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
34,BTA2111,,Bông tai,,,Round,3.6, 7.83 , 7.30 ,   ,, Pattern , 0.19 ,,Round,1.2*1.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2111,0,0,BTA 2021,,," 48,330,000 "," 39,400,000 "," 44,840,000 "," 38,630,000 "," 29,700,000 "," 35,140,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E2 , Active , -   , - 
35,BTA2112,,Bông tai,,,Emerald,5.4, 3.41 , 3.18 ,   ,, Plain , 0.18 ,,Round,1.1*1.1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2112,0,0,BTA 2021,,," 27,710,000 "," 23,590,000 "," 28,300,000 "," 19,440,000 "," 15,320,000 "," 20,030,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
36,BTA2113,,Bông tai,,,Emerald,5.4, 4.71 , 4.39 ,   ,, Plain , 0.42 ,,Round,1.1*1.1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2113,0,0,BTA 2021,,," 46,720,000 "," 41,020,000 "," 45,910,000 "," 27,420,000 "," 21,720,000 "," 26,610,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
37,BTA2114,,Bông tai,,,Emerald,5.4, 6.24 , 5.82 ,   ,, Pattern , 0.28 ,,Round,1.0*1.0,44,Round,0.9*0.9,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Không,Full bi đá tấm ở ngoài ,Bông tai BTA2114,0,0,BTA 2021,,," 50,820,000 "," 44,850,000 ", - ," 34,610,000 "," 28,630,000 ", - , - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , Class C , Inactive , -   , - 
38,BTA2115,,Bông tai,,,,   , 4.13 , 3.85 ,   ,, Pattern , 0.75 ,,Princess,3.5*3.5,2,Round,1.2*1.2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Không,full vòng bi ngoài ,Bông tai BTA2115,0,0,BTA 2021,,," 79,650,000 "," 74,660,000 ", - ," 24,690,000 "," 19,690,000 ", - , - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Inactive , -   , - 
39,BTA2116,,Bông tai,,,,   , 5.41 , 4.52 ,   ,, Plain , 1.70 ,,Round,3.5*3.5,2,Round,1.2*1.2,24,Round,2.0*2.0,16,Round,1.6*1.6,16,Round,1.8*1.8,8,Round,2.2*2.2,8,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2116,0,0,BTA 2021,,," 88,720,000 "," 80,380,000 "," 87,640,000 "," 30,960,000 "," 22,620,000 "," 29,880,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
40,BTA2117,,Bông tai,,,Round,5, 6.22 , 5.80 ,   ,, Plain , 0.64 ,,Round,2.2*2.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2117,0,0,Valentine Love,,," 50,810,000 "," 44,850,000 "," 49,340,000 "," 29,650,000 "," 23,690,000 "," 28,180,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
41,BTA2118,,Bông tai,,,Round,4.5, 7.16 , 6.68 ,   ,, Plain , 0.40 ,,Round,1.5*1.5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2118,0,0,BTA 2021,,," 46,610,000 "," 38,470,000 "," 44,770,000 "," 34,240,000 "," 26,090,000 "," 32,400,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Inactive , -   , - 
42,BTA2119,,Bông tai,,,Round,4.5, 5.70 , 5.32 ,   ,, Plain , 0.62 ,,Round,0.9*0.9,60,Round,1.8*1.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2119,0,0,BTA 2021,,," 55,260,000 "," 48,390,000 "," 54,070,000 "," 31,880,000 "," 25,000,000 "," 30,690,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , Class C , Active , -   , - 
43,BTA2120,,Bông tai,,,Round,5.4, 6.28 , 5.85 ,   ,, Plain , 0.34 ,,Round,0.9*0.9,12,Round,1.1*1.1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2120,0,0,BTA 2021,,," 54,630,000 "," 48,600,000 "," 53,140,000 "," 33,350,000 "," 27,310,000 "," 31,850,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
44,BTA2121,,Bông tai,,,Round,4.1, 4.64 , 4.33 ,   ,, Plain , 0.20 ,,Round,1.1*1.1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2121,0,0,BTA 2021,,," 34,250,000 "," 28,650,000 "," 33,470,000 "," 25,060,000 "," 19,470,000 "," 24,280,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Inactive , -   , - 
45,BTA2122,,Bông tai,,,Round,4.5, 4.69 , 4.37 ,   ,, Plain , 0.24 ,,Round,1.5*1.5,16,Round,0.9*0.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2122,0,0,BTA 2021,,," 33,860,000 "," 28,180,000 "," 33,060,000 "," 25,010,000 "," 19,340,000 "," 24,210,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
46,BTA2123,,Bông tai,,,Round,4.6, 4.76 , 4.44 ,   ,, Plain , 0.20 ,,Round,0.9*0.9,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bông tai BTA2123,0,0,BTA 2021,,," 39,040,000 "," 33,290,000 "," 38,210,000 "," 27,080,000 "," 21,340,000 "," 26,260,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
